"","country","district.region.code","district.region.name","ward.code.3A","ward.name.3A","village.3A","market.name.3A","gps.coordinates.of.the.market"
"147",6,62,"simiyu",620120,"lalago","lalago","lalago","-3.4359916 33.9402586 1169.3519287109375 4.912"
"148",6,62,"simiyu",620120,"lalago","lalago","lalago","-3.4361219 33.9405601 1174.3870849609375 4.873"
"149",6,62,"simiyu",620120,"lalago","lalago","lalago","-3.4360901 33.9406267 1174.043701171875 3.9"
"150",6,62,"simiyu",620120,"lalago","lalago","lalago","-3.4355237 33.9405045 1180.333251953125 4.824"
"151",6,62,"simiyu",620120,"lalago","lalago","lalago","-3.4354947 33.9405472 1172.751220703125 4.824"
"152",6,62,"simiyu",620120,"lalago","lalago","lalago","-3.4355544 33.9404809 1166.7373046875 4.561"
"153",6,62,"simiyu",620120,"lalago","lalago","lalago","-3.4348398 33.9411347 1182.4678955078125 3.944"
"154",6,62,"simiyu",620120,"lalago","lalago","lalago","-3.4348077 33.9411258 1183.31982421875 4.672"
"155",6,62,"simiyu",620120,"lalago","lalago","lalago","-3.4360006 33.9407703 1172.3057861328125 4.983"
"156",6,62,"simiyu",620120,"lalago","lalago","lalago","-3.4360513 33.9408136 1170.7344970703125 4.509"
"157",6,62,"simiyu",620120,"lalago","lalago","lalago","-3.4360177 33.9409536 1168.8782958984375 4.076"
"158",6,62,"simiyu",620120,"lalago","lalago","lalago","-3.4359675 33.9408814 1166.0850830078125 4.637"
"159",6,62,"simiyu",620120,"lalago","lalago","lalago","-3.4360318 33.9408001 1169.2962646484375 4.416"
"160",6,62,"simiyu",620120,"lalago","lalago","lalago","-3.436023 33.9407473 1174.1947021484375 4.66"
"161",6,62,"simiyu",620120,"lalago","lalago","lalago","-3.4360371 33.940795 1161.18798828125 4.96"
"162",6,62,"simiyu",620120,"lalago","lalago","lalago","-3.4359958 33.940786 1161.7633056640625 4.467"
"163",6,62,"simiyu",620120,"lalago","lalago","lalago","-3.4359773 33.9408 1160.87646484375 4.8"
"164",6,62,"simiyu",620120,"lalago","lalago","lalago","-3.4359527 33.9406446 1156.9920654296875 4.731"
"165",6,62,"simiyu",620120,"lalago","lalago","lalago","-3.4360309 33.9407196 1169.931884765625 3.952"
"166",6,62,"simiyu",620120,"lalago","lalago","lalago","-3.4359364 33.9408002 1167.03515625 4.276"
"167",6,62,"simiyu",620120,"lalago","lalago","lalago","-3.4359415 33.9408068 1167.2984619140625 3.9"
"168",6,62,"simiyu",620120,"lalago","lalago","lalago","-3.4360067 33.9407654 1175.13037109375 4.536"
"169",6,62,"simiyu",620120,"lalago","lalago","lalago","-3.4355117 33.940491 1155.92138671875 4.349"
"170",6,62,"simiyu",620120,"lalago","lalago","lalago","-3.4355269 33.9405116 1168.086181640625 4.98"
"171",6,62,"simiyu",620120,"lalago","lalago","lalago","-3.4355491 33.9405257 1165.9676513671875 4.428"
"172",6,62,"simiyu",620120,"lalago","lalago","lalago","-3.4354991 33.940524 1170.075927734375 4.533"
"173",6,62,"simiyu",620120,"lalago","lalago","lalago","-3.4355198 33.940523 1181.5577392578125 4.711"
"174",6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.3375747 35.5495829 1028.0349815160503 4.987"
"175",6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.3375687 35.5496019 1030.5654635974224 4.63"
"176",6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.3375962 35.5495513 1029.490183892432 4.094"
"177",6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.3375805 35.5495296 1026.1456482019457 4.094"
"178",6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.3375725 35.5495481 1031.912972941442 3.9"
"179",6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.337574 35.5495471 1030.7602303819751 3.9"
"180",6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.3375762 35.5495454 1030.8804165953577 3.9"
"181",6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.33754 35.5495222 1028.8476163925018 4.824"
"182",6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.3375436 35.549496 1022.5332985432833 4.873"
"183",6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.3375938 35.549456 1022.8725801866668 4.912"
"184",6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.3375958 35.5496095 1039.9110509036454 4.63"
"185",6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.3375701 35.5495785 1029.753565197156 4.922"
"186",6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.3375779 35.5496301 1066.3 4.266"
"187",6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.3374767 35.5496217 1049.1 4.3"
"188",6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.3374867 35.5495389 1049.5 4.82"
"189",6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.3374949 35.5495755 1045.2 4.9"
"190",6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.3375037 35.5495725 1060.4 3.9"
"191",6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.3374931 35.5494813 1070.5 4.55"
"192",6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.3376885 35.5493688 1126.8 4.54"
"193",6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.3376088 35.549431 1093.3 4.96"
"194",6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.3375186 35.5493777 949.3 3.9"
"195",6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.3375981 35.5493903 1061.4 4.44"
"196",6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.3375346 35.5493357 1034.9 4.34"
"197",6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.3375697 35.5495357 1019.3 4.75"
"198",6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.3375714 35.5493769 1034.58837890625 4.094"
"199",6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.3375746 35.5494003 1036.7218017578125 4.995"
"200",6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.3375622 35.5494723 1033.24365234375 4.898"
"201",6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.3375126 35.5494357 1028.550537109375 3.9"
"202",6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.3374852 35.549539 1029.6324462890625 4.801"
"203",6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.3374913 35.5494954 1023.808349609375 4.63"
"204",6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.3375242 35.5495218 1038.7283935546875 3.9"
"205",6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.3375282 35.5494919 1032.6917724609375 3.9"
"206",6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.3375585 35.5495711 1029.1446533203125 4.922"
"207",6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.3375697 35.5495863 1030.9539794921875 4.744"
"208",6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.3376471 35.5494982 1030.1776123046875 3.9"
"209",6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.3376209 35.5494156 1032.2738037109375 4.094"
"210",6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.3376751 35.549466 1029.6789842885644 4.5"
"211",6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.3376766 35.549465 1006.8247336887146 4.6"
"212",6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.3376714 35.5494888 1017.2801060173317 4.7"
"213",6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.3376469 35.5494824 1010.0819915719686 4.75"
"214",6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.3376068 35.5494744 1020.4350295472447 4.6"
"215",6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.337554 35.5495034 1023.6628740907574 3.8"
"216",6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.3375607 35.5495145 1021.7373397681068 4.0"
"217",6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.337551 35.5495277 1007.8566359308816 4.916"
"218",6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.3376416 35.5495382 1040.0835303268084 5.0"
"219",6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.3376505 35.5494882 1018.8265497790906 5.0"
"220",6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.3375476 35.549461 1031.745792085552 4.916"
"221",6,66,"dodoma",660117,"ibugule","nkhome","nkhome","-6.3375595 35.5496062 1045.155762422369 4.8"
"222",6,62,"simiyu",620119,"kidinda","kidinda","kidinda","-2.7978827 33.9774738 1284.2352294921875 4.623"
"223",6,62,"simiyu",620119,"kidinda","kidinda","kidinda","-2.7978619 33.9775999 1304.8026123046875 4.24"
"224",6,62,"simiyu",620119,"kidinda","kidinda","kidinda","-2.7978853 33.9776069 1284.4097900390625 4.585"
"225",6,62,"simiyu",620119,"kidinda","kidinda","kidinda","-2.7978983 33.9776001 1282.072998046875 4.694"
"226",6,62,"simiyu",620119,"kidinda","kidinda","kidinda","-2.7978735 33.9776181 1283.27978515625 4.877"
"227",6,62,"simiyu",620119,"kidinda","kidinda","kidinda","-2.7978519 33.9776716 1277.7041015625 4.894"
"228",6,62,"simiyu",620119,"kidinda","kidinda","kidinda","-2.7978569 33.9776186 1275.6204833984375 4.11"
"229",6,62,"simiyu",620119,"kidinda","kidinda","kidinda","-2.7978582 33.9776131 1284.2052001953125 4.827"
"230",6,62,"simiyu",620119,"kidinda","kidinda","kidinda","-2.7992985 33.9778424 1283.359130859375 4.589"
"231",6,62,"simiyu",620119,"kidinda","kidinda","kidinda","-2.7993416 33.9778567 1274.38037109375 4.882"
"232",6,62,"simiyu",620119,"kidinda","kidinda","kidinda","-2.7993375 33.9778423 1263.807373046875 4.814"
"233",6,62,"simiyu",620119,"kidinda","kidinda","kidinda","-2.7980337 33.977313 1271.2664809003472 5.0"
"234",6,62,"simiyu",620119,"kidinda","kidinda","kidinda","-2.7992838 33.977839 1266.492431640625 5.0"
"235",6,62,"simiyu",620119,"kidinda","kidinda","kidinda","-2.7983891 33.9773918 1273.8929997123778 5.0"
"236",6,62,"simiyu",620119,"kidinda","kidinda","kidinda","-2.7993164 33.9778626 1271.8785400390625 4.811"
"237",6,62,"simiyu",620119,"kidinda","kidinda","kidinda","-2.7982981 33.9772877 1276.4283597981557 5.0"
"238",6,62,"simiyu",620119,"kidinda","kidinda","kidinda","-2.7992985 33.9778439 1272.4150390625 4.601"
"239",6,62,"simiyu",620119,"kidinda","kidinda","kidinda","-2.7983052 33.9771351 1264.5411611972377 5.0"
"240",6,62,"simiyu",620119,"kidinda","kidinda","kidinda","-2.7993383 33.9778376 1270.8834228515625 4.76"
"241",6,62,"simiyu",620119,"kidinda","kidinda","kidinda","-2.7982731 33.977239 1277.8635964831337 5.0"
"242",6,62,"simiyu",620119,"kidinda","kidinda","kidinda","-2.7993096 33.9778452 1266.5211181640625 4.744"
"243",6,62,"simiyu",620119,"kidinda","kidinda","kidinda","-2.7982872 33.9772473 1277.6977790398523 5.0"
