"","fid","date","date.final","country","region.final","district.final","ward.final","village.final","market.final","market.type","sheep.0to12","sheep.adult","goat.0to12","goat.adult","gps.coordinates.of.the.market","unique.row.identifier.uuid."
"54",1157988,2022-06-03,"2022-06-03",6,"iringa","iringa","itunundu","kimande","kimande",1,25,87,50,200,"-7.3661366 35.4863836 678.3933698274195 5.0","e4e99d79-eb5b-11ec-9416-9440c9ab47f0"
"55",1158095,2022-06-03,"2022-06-04",6,"mtwara","masasi","nanjota","nanjota","nanjota",1,0,6,5,25,"-10.816573 38.9792261 298.0516357421875 4.561","5f26205c-e449-11ec-9416-9440c9ab47f0"
"56",1158214,2022-06-02,"2022-06-04",6,"morogoro","kilombero","idete","idandu","kikurukutu",1,0,5,4,1,"-8.1737676 36.3909088 243.02349853515625 4.288","5f2a20f2-e449-11ec-9416-9440c9ab47f0"
"57",1158309,2022-06-04,"2022-06-04",6,"mbeya","mbarali","rujewa","ihanga","rujewa",1,8,22,20,80,"-8.7169939 34.3911207 1070.1674233889207 5.0","5ead2d5c-e449-11ec-9416-9440c9ab47f0"
"58",1158601,2022-06-04,"2022-06-04",6,"dodoma","bahi","mundemu","mundemu","mundemu",1,10,40,40,110,"-5.9298956 35.6777834 1088.5344760019314 4.0","89201514-e512-11ec-9416-9440c9ab47f0"
"59",1158918,2022-06-04,"2022-06-05",6,"mtwara","masasi","mchauru","mchauru","mchauru",1,6,11,4,19,"-11.0281102 39.1603146 180.0 4.833","880ede0c-e512-11ec-9416-9440c9ab47f0"
"60",1159033,2022-06-04,"2022-06-06",6,"mtwara","masasi","mnavira","nakarara","makong.onda",1,0,3,2,14,"-11.0164251 39.2318458 269.3782958984375 4.99","b19949aa-e5db-11ec-9416-9440c9ab47f0"
"61",1159231,2022-06-06,"2022-06-06",6,"njombe","wanging.ombe","wanging.ombe","wanging.ombe","wanging.ombe",1,9,15,12,34,"-8.8520373 34.6428077 1429.7950092162937 5.0","b1ea118c-e5db-11ec-9416-9440c9ab47f0"
"62",1159261,2022-06-06,"2022-06-06",6,"mtwara","masasi","mkundi","majembe","mkundi",1,0,0,9,27,"-10.7383236 39.1197814 416.0 4.16","b1f6075c-e5db-11ec-9416-9440c9ab47f0"
"63",1159273,2022-06-06,"2022-06-06",6,"mtwara","masasi","namalenga","nagaga","namalenga",1,0,10,5,29,"-10.901412 39.1108269 327.8 4.52","b301233a-e5db-11ec-9416-9440c9ab47f0"
"64",1159302,2022-06-06,"2022-06-06",6,"morogoro","kilombero","mofu","miyomboni","mofu",1,2,7,4,16,"-8.2765854 36.3240802 245.16961669921875 4.288","b1a4970e-e5db-11ec-9416-9440c9ab47f0"
"65",1159817,2022-06-07,"2022-06-07",6,"mtwara","masasi","chiwale","kivukoni","chiwale",1,0,0,6,18,"-10.5853673 38.6059127 445.7 4.94","df27f509-e6a4-11ec-9416-9440c9ab47f0"
"66",1159942,2022-06-07,"2022-06-07",6,"morogoro","kilombero","kiberege","sagamaganga","sagamaganga",1,29,47,23,42,"-8.069695 36.8108767 240.6 4.1","de9262ec-e6a4-11ec-9416-9440c9ab47f0"
"67",1160013,2022-06-07,"2022-06-07",6,"mtwara","masasi","lukuledi","lukuledi","lukuledi",1,0,0,6,11,"-10.5717998 38.8067851 304.99761962890625 4.347","06ab5b4d-e76e-11ec-9416-9440c9ab47f0"
"68",1160177,2022-06-07,"2022-06-08",6,"mbeya","mbarali","utengule.usangu","utengule.usangu","utengule.usangu",1,15,50,35,90,"-8.6721809 33.8662646 1051.0706442594528 5.0","05958152-e76e-11ec-9416-9440c9ab47f0"
"69",1160263,2022-06-07,"2022-06-07",6,"dodoma","bahi","lamaiti","lamaiti","lamaiti",1,30,80,80,220,"-5.7819453 35.4809807 951.366131340002 5.0","06dc60e4-e76e-11ec-9416-9440c9ab47f0"
"70",1160424,2022-06-08,"2022-06-09",6,"mtwara","masasi","mwena","chibwini","mwena",1,0,0,1,5,"-10.5079383 39.0039259 295.5172119140625 4.759","33d0588f-e837-11ec-9416-9440c9ab47f0"
"71",1160812,2022-06-09,"2022-06-09",6,"songwe","mbozi","iyula","idiwili","idiwili",1,5,15,10,30,"-9.1350336 33.1534468 1967.8983042957261 7.487","e4d53a5d-eb5b-11ec-9416-9440c9ab47f0"
"72",1160861,2022-06-08,"2022-06-09",6,"morogoro","ulanga","usangule","kiswago","salamiti",1,16,35,12,28,"-8.823092 36.2566832 242.0103323809444 4.816","33076437-e837-11ec-9416-9440c9ab47f0"
"73",1161006,2022-06-09,"2022-06-10",6,"lindi","nachingwea","ndomoni","ndomoni","ndomoni",1,2,16,4,17,"-10.5375672 38.8116305 301.0 4.98","5c4bbec3-e900-11ec-9416-9440c9ab47f0"
"74",1161605,2022-06-10,"2022-06-11",6,"mtwara","newala","luchindu","luchingu","luchingu",1,0,3,5,12,"-10.9386753 39.2729034 653.5999755859375 4.63","8716c2ed-e9c9-11ec-9416-9440c9ab47f0"
"75",1161609,2022-06-10,"2022-06-11",6,"mtwara","newala","mtonya","nangwala","nangwala",1,0,10,0,20,"-10.9508798 39.2708788 774.4815673828125 4.873","874ae094-e9c9-11ec-9416-9440c9ab47f0"
"76",1161672,2022-06-10,"2022-06-11",6,"mtwara","newala","luchindu","tupendane","tulindane",1,2,3,4,9,"-10.9243772 39.2699882 700.300048828125 4.8","8597ae80-e9c9-11ec-9416-9440c9ab47f0"
"77",1161676,2022-06-10,"2022-06-11",6,"mtwara","newala","mtonya","majengo","mtonya",1,1,2,4,16,"-10.9544666 39.2770149 685.0 5.0","86ceed4c-e9c9-11ec-9416-9440c9ab47f0"
"78",1161680,2022-06-10,"2022-06-11",6,"mtwara","newala","kitangari","kitangari","kitangari",1,1,3,6,23,"-10.6517585 39.3304611 427.0 5.0","86ebea1b-e9c9-11ec-9416-9440c9ab47f0"
"79",1162035,2022-06-11,"2022-06-12",6,"mtwara","masasi","chikolopola","chikolopola","chikolopola",1,3,6,8,9,"-11.0681832 39.3277277 97.08428955078125 4.484","b3f8120f-ea92-11ec-9416-9440c9ab47f0"
"80",1162087,2022-06-11,"2022-06-12",6,"mtwara","masasi","mnavira","mnavira","mnavira",1,0,7,1,15,"-11.0697049 39.2535749 169.2 4.62","b3e9302b-ea92-11ec-9416-9440c9ab47f0"
"81",1162089,2022-06-12,"2022-06-12",6,"ruvuma","tunduru","muhuwesi","muhesi","muhesi",1,0,9,0,29,"-10.8706034 37.4517683 521.2 5.0","b34ac2c4-ea92-11ec-9416-9440c9ab47f0"
"82",1162636,2022-06-12,"2022-06-13",6,"mbeya","chunya","mtanila","igangwe","shauri.moyo",1,5,17,8,30,"-7.8785377 33.1322603 1402.301895567216 5.0","e58211e5-eb5b-11ec-9416-9440c9ab47f0"
"83",1162778,2022-06-10,"2022-06-14",6,"morogoro","ulanga","itete","itete","itete",1,8,24,9,21,"-8.6886338 36.4044519 316.3909912109375 4.912","5e2ece80-ebad-11ec-9416-9440c9ab47f0"
"84",1162958,2022-06-14,"2022-06-14",6,"mbeya","chunya","mamba","mamba","shinyanga",1,2,3,15,60,"-8.127478 33.1441616 1231.343871459365 5.0","0c9a2974-ec25-11ec-9416-9440c9ab47f0"
"85",1167759,2022-05-22,"2022-06-20",6,"katavi","mlele","majimoto","kitupa","majimoto.a",1,22,52,32,85,"-7.2556598 31.394734 941.8 4.966","381bac33-f1a5-11ec-80af-9440c9ab47f0"
