place,wdr.A,wdr.B,dist.A,dist.B,reg.A.dist,ward.A.dist,dist_sum,acceptWR0,
msembeta,msembeta-dodoma.cc-dodoma,membe-chamwino.dc-dodoma,dodoma.cc,chamwino.dc,0,0.125,0.125,,
ngeme,mwamaplalal-bariadi.tc-simiyu,mwamapalala-itilima.dc-simiyu,bariadi.tc,itilima.dc,0,0.127272727,0.127272727,,
sumabwanga,sumabwanga-sumbawanga.dc-rukwa,old.sumbawanga-sumbawanga.mc-rukwa,sumbawanga.dc,sumbawanga.mc,0,0.128571429,0.128571429,,
kalemela,kalemela-magu.dc-mwanza,ilemela-ilemela.mc-mwanza,magu.dc,ilemela.mc,0,0.130952381,0.130952381,,
nyashimo,kalemela-magu.dc-mwanza,ilemela-ilemela.mc-mwanza,magu.dc,ilemela.mc,0,0.130952381,0.130952381,,
lukungu,mwasamba-busega.dc-simiyu,mwamashimba-maswa.dc-simiyu,busega.dc,maswa.dc,0,0.132575758,0.132575758,,
lutubiga,mwasamba-busega.dc-simiyu,mwamashimba-maswa.dc-simiyu,busega.dc,maswa.dc,0,0.132575758,0.132575758,,
mwamagisi,mwasamba-busega.dc-simiyu,mwamashimba-maswa.dc-simiyu,busega.dc,maswa.dc,0,0.132575758,0.132575758,,
mwasamba,mwasamba-busega.dc-simiyu,mwamashimba-maswa.dc-simiyu,busega.dc,maswa.dc,0,0.132575758,0.132575758,,
igawa,igawa-malinyi.dc-morogoro,bigwa-morogoro.mc-morogoro,malinyi.dc,morogoro.mc,0,0.133333333,0.133333333,,
igawa.nyumbani,igawa-malinyi.dc-morogoro,bigwa-morogoro.mc-morogoro,malinyi.dc,morogoro.mc,0,0.133333333,0.133333333,,
isangawana,isangawana-chunya.dc-mbeya,isanga-mbeya.mc-mbeya,chunya.dc,mbeya.mc,0,0.133333333,0.133333333,,
kitiwale,igawa-malinyi.dc-morogoro,bigwa-morogoro.mc-morogoro,malinyi.dc,morogoro.mc,0,0.133333333,0.133333333,,
kitiwele.nyumbani,igawa-malinyi.dc-morogoro,bigwa-morogoro.mc-morogoro,malinyi.dc,morogoro.mc,0,0.133333333,0.133333333,,
likaye,igawa-malinyi.dc-morogoro,bigwa-morogoro.mc-morogoro,malinyi.dc,morogoro.mc,0,0.133333333,0.133333333,,
lupemenda,igawa-malinyi.dc-morogoro,bigwa-morogoro.mc-morogoro,malinyi.dc,morogoro.mc,0,0.133333333,0.133333333,,
mkomange,igawa-malinyi.dc-morogoro,bigwa-morogoro.mc-morogoro,malinyi.dc,morogoro.mc,0,0.133333333,0.133333333,,
mwiji,mwiji-chunya.dc-mbeya,iwiji-mbeya.dc-mbeya,chunya.dc,mbeya.dc,0,0.133333333,0.133333333,,
nkwavii,isangawana-chunya.dc-mbeya,isanga-mbeya.mc-mbeya,chunya.dc,mbeya.mc,0,0.133333333,0.133333333,,
tanga,tanga-malinyi.dc-morogoro,kanga-mvomero.dc-morogoro,malinyi.dc,mvomero.dc,0,0.133333333,0.133333333,,
sumbawanga,maswi-sumbawanga.dc-rukwa,mazwi-sumbawanga.mc-rukwa,sumbawanga.dc,sumbawanga.mc,0,0.133333333,0.133333333,,
mkole,mkole-nkasi.dc-rukwa,mkowe-kalambo.dc-rukwa,nkasi.dc,kalambo.dc,0,0.133333333,0.133333333,,
senga,kamsamba-kamsamba-kamsamba,masaba-butiama.dc-mara,kamsamba,butiama.dc,0.402777778,0.138888889,0.541666667,,
chinongwe,chinongwe-masasi.dc-mtwara,chingungwe-tandahimba.dc-mtwara,masasi.dc,tandahimba.dc,0,0.14537037,0.14537037,,
chikole,kangakero-malinyi.dc-morogoro,kanga-mvomero.dc-morogoro,malinyi.dc,mvomero.dc,0,0.148148148,0.148148148,,
nyamatala,nyamatala-misungwi.dc-mwanza,nyamagana-nyamagana.mc-mwanza,misungwi.dc,nyamagana.mc,0,0.148148148,0.148148148,,
saja,tanga-kilindi.dc-tanga,tangasisi-tanga.cc-tanga,kilindi.dc,tanga.cc,0,0.148148148,0.148148148,,
hatete,hatete-mbozi.dc-songwe,chitete-ileje.dc-songwe,mbozi.dc,ileje.dc,0,0.150793651,0.150793651,,
hatete,hatete-mbozi.dc-songwe,chitete-momba.dc-songwe,mbozi.dc,momba.dc,0,0.150793651,0.150793651,,
hilumba,itongo-kwimba.dc-mwanza,mirongo-nyamagana.mc-mwanza,kwimba.dc,nyamagana.mc,0,0.150793651,0.150793651,,
isangha,isangha-bahi.dc-dodoma,msanga-chamwino.dc-dodoma,bahi.dc,chamwino.dc,0,0.150793651,0.150793651,,
kiji,igangwe-chunya.dc-mbeya,isange-busokelo.dc-mbeya,chunya.dc,busokelo.dc,0,0.150793651,0.150793651,,
mafinga,mafinga-mufindi.dc-iringa,mninga-mufindi.dc-iringa,mufindi.dc,mufindi.dc,0,0.150793651,0.150793651,,
mafinga,mafinga-mufindi.dc-iringa,mpanga-mufindi.dc-iringa,mufindi.dc,mufindi.dc,0,0.150793651,0.150793651,,
mavimba,mavimba-ulanga.dc-morogoro,mlimba-kilombero.dc-morogoro,ulanga.dc,kilombero.dc,0,0.150793651,0.150793651,,
ngalaiwe,igangwe-chunya.dc-mbeya,isange-busokelo.dc-mbeya,chunya.dc,busokelo.dc,0,0.150793651,0.150793651,,
njombe,njombe-njombe.dc-njombe,kijombe-wanging.ombe.dc-njombe,njombe.dc,wanging.ombe.dc,0,0.150793651,0.150793651,,
ushirika,mahango-mbarali.dc-mbeya,maanga-mbeya.mc-mbeya,mbarali.dc,mbeya.mc,0,0.150793651,0.150793651,,
maligisu.kasoli,maligisu.kasoli-kwimba.bariadi-kwimba.bariadi,maligisu-kwimba.dc-mwanza,kwimba.bariadi,kwimba.dc,0.432539683,0.155555556,0.588095238,,
kangabilili,kangabilili-itilima.dc-simiyu,lagangabilili-itilima.dc-simiyu,itilima.dc,itilima.dc,0,0.157226107,0.157226107,,
bwawani,chikopelo-bahi.dc-dodoma,chikola-bahi.dc-dodoma,bahi.dc,bahi.dc,0,0.158730159,0.158730159,,
kisesa,imalamoto-bariadi.dc-simiyu,malambo-bariadi.tc-simiyu,bariadi.dc,bariadi.tc,0,0.158730159,0.158730159,,
makambako,makambako-makambako.tc-njombe,matamba-makete.dc-njombe,makambako.tc,makete.dc,0,0.158730159,0.158730159,,
makambako,makambako-njombe.dc-njombe,matamba-makete.dc-njombe,njombe.dc,makete.dc,0,0.158730159,0.158730159,,
mitumbati,mitumbati-mitumbati-mitumbati,matumbi-madaba.dc-ruvuma,mitumbati,madaba.dc,0.388888889,0.158730159,0.547619048,,
lyoma,ngudu-ngudu-ngudu,nduguti-mkalama.dc-singida,ngudu,mkalama.dc,0.323809524,0.161904762,0.485714286,,
ngudu,ngudu-ngudu-ngudu,nduguti-mkalama.dc-singida,ngudu,mkalama.dc,0.323809524,0.161904762,0.485714286,,
chibuji,nyangh.onge-misungwi.dc-mwanza,nyanguge-magu.dc-mwanza,misungwi.dc,magu.dc,0,0.162878788,0.162878788,,
mwanangwa,mwanangwa-misungwi.dc-mwanza,nyamanga-ukerewe.dc-mwanza,misungwi.dc,ukerewe.dc,0,0.163359788,0.163359788,,
mwanangwa,mwanangwa-misungwi.dc-mwanza,mwamanga-magu.dc-mwanza,misungwi.dc,magu.dc,0,0.163359788,0.163359788,,
chitandi,nangwala-newala.dc-mtwara,nanganga-masasi.dc-mtwara,newala.dc,masasi.dc,0,0.166666667,0.166666667,,
nangwala,nangwala-newala.dc-mtwara,nanganga-masasi.dc-mtwara,newala.dc,masasi.dc,0,0.166666667,0.166666667,,
nyakiswa,nyakiswa-musoma.dc-mara,nyamuswa-bunda.dc-mara,musoma.dc,bunda.dc,0,0.166666667,0.166666667,,
utende,mamba.moja-mlele.dc-katavi,mamba-mpimbwe.dc-katavi,mlele.dc,mpimbwe.dc,0,0.166666667,0.166666667,,
idandu,namawala-mlimba-mlimba,namapwia-nachingwea.dc-lindi,mlimba,nachingwea.dc,0.422222222,0.166666667,0.588888889,,
kikurukutu,namawala-mlimba-mlimba,namapwia-nachingwea.dc-lindi,mlimba,nachingwea.dc,0.422222222,0.166666667,0.588888889,,
mikochini,namawala-mlimba-mlimba,namapwia-nachingwea.dc-lindi,mlimba,nachingwea.dc,0.422222222,0.166666667,0.588888889,,
mkochini,namawala-mlimba-mlimba,namapwia-nachingwea.dc-lindi,mlimba,nachingwea.dc,0.422222222,0.166666667,0.588888889,,
mwamashindike,mwabaratulu-maswa.dc-simiyu,mwabusalu-meatu.dc-simiyu,maswa.dc,meatu.dc,0,0.169612795,0.169612795,,
lalago.mwakidiga.mwangongo,kishapu.na.lalago-kishapu.na.maswa-kishapu.na.maswa,kapalala-nsimbo.dc-katavi,kishapu.na.maswa,nsimbo.dc,0.444444444,0.176470588,0.620915033,,
bwage,mziha-mvomero.dc-morogoro,mzinga-morogoro.mc-morogoro,mvomero.dc,morogoro.mc,0,0.177777778,0.177777778,,
bwage.nyumbani,mziha-mvomero.dc-morogoro,mzinga-morogoro.mc-morogoro,mvomero.dc,morogoro.mc,0,0.177777778,0.177777778,,
dungo,mziha-mvomero.dc-morogoro,mzinga-morogoro.mc-morogoro,mvomero.dc,morogoro.mc,0,0.177777778,0.177777778,,
faranji,igava-momba.dc-songwe,igamba-mbozi.dc-songwe,momba.dc,mbozi.dc,0,0.177777778,0.177777778,,
ikulimambo,uhenga-wanging.ombe.dc-njombe,ubena-makambako.tc-njombe,wanging.ombe.dc,makambako.tc,0,0.177777778,0.177777778,,
isanzu,manda-momba.dc-songwe,ihanda-mbozi.dc-songwe,momba.dc,mbozi.dc,0,0.177777778,0.177777778,,
isanzu,manda-momba.dc-songwe,ruanda-mbozi.dc-songwe,momba.dc,mbozi.dc,0,0.177777778,0.177777778,,
itimaa,ngwala-chunya.dc-mbeya,ngana-kyela.dc-mbeya,chunya.dc,kyela.dc,0,0.177777778,0.177777778,,
kibatula,mziha-mvomero.dc-morogoro,mzinga-morogoro.mc-morogoro,mvomero.dc,morogoro.mc,0,0.177777778,0.177777778,,
kibatula.nyumbani,mziha-mvomero.dc-morogoro,mzinga-morogoro.mc-morogoro,mvomero.dc,morogoro.mc,0,0.177777778,0.177777778,,
kidoka,kidoka-chemba.dc-dodoma,mkoka-kongwa.dc-dodoma,chemba.dc,kongwa.dc,0,0.177777778,0.177777778,,
kijiji.mziha,mziha-mvomero.dc-morogoro,mzinga-morogoro.mc-morogoro,mvomero.dc,morogoro.mc,0,0.177777778,0.177777778,,
kwabeko,mziha-mvomero.dc-morogoro,mzinga-morogoro.mc-morogoro,mvomero.dc,morogoro.mc,0,0.177777778,0.177777778,,
kwakonje,mziha-mvomero.dc-morogoro,mzinga-morogoro.mc-morogoro,mvomero.dc,morogoro.mc,0,0.177777778,0.177777778,,
lugoda,lugoda-mufindi.dc-iringa,lugalo-kilolo.dc-iringa,mufindi.dc,kilolo.dc,0,0.177777778,0.177777778,,
lukali,lukali-bahi.dc-dodoma,mlali-kongwa.dc-dodoma,bahi.dc,kongwa.dc,0,0.177777778,0.177777778,,
madizini,mziha-mvomero.dc-morogoro,mzinga-morogoro.mc-morogoro,mvomero.dc,morogoro.mc,0,0.177777778,0.177777778,,
