"","place","ward.A","dist.A","reg.A","Facility_N","Village_St","ward.X","dist.X","reg.X","place.X","place.dist","reg.A.dist","dist"
"698","ngalaiwa","nkungu.ngu","chunya.dc","mbeya","ngala","mnara","Mnara","Lindi DC","lindi","ngala-mnara",0.234848484848485,1,NA
"699","ngalaiwa","nkungu.ngu","chunya.dc","mbeya","ngala","mnara","Mnara","Lindi DC","lindi","ngala-mnara",0.234848484848485,1,NA
"700","ngalaiwe","igangwe","chunya.dc","mbeya","usangi","kilaweni","Kighare","Mwanga DC","kilimanjaro","usangi-kilaweni",0.280555555555556,0.472727272727273,NA
"701","ngalaiwe","ngalaiwe","chunya.dc","mbeya","usangi","kilaweni","Kighare","Mwanga DC","kilimanjaro","usangi-kilaweni",0.280555555555556,0.472727272727273,NA
"702","ngalaiwe","nkung.ungu","chunya.dc","mbeya","usangi","kilaweni","Kighare","Mwanga DC","kilimanjaro","usangi-kilaweni",0.280555555555556,0.472727272727273,NA
"703","ngeme","mwamaplalal","bariadi.tc","simiyu","ngeme","ngeme","Mwamapalala","Itilima DC","simiyu","ngeme-ngeme",0.181818181818182,0,NA
"704","ngeme","mwamaplalal","bariadi.tc","simiyu","ngeme","ngeme","Mwakipoya","Kishapu DC","shinyanga","ngeme-ngeme",0.181818181818182,0.388888888888889,NA
"705","ngudu","ngudu","ngudu","ngudu","ngudu","amani","Makonde","Lindi MC","lindi","ngudu-amani",0.181818181818182,0.533333333333333,NA
"706","ngudu","ngudu","ngudu","ngudu","ngudu","amani","Makonde","Lindi MC","lindi","ngudu-amani",0.181818181818182,0.533333333333333,NA
"707","nhundi","gatuli","kwimba.dc","mwanza","nkundi","nkundi","Kipande","Nkasi DC","rukwa","nkundi-nkundi",0.260683760683761,0.422222222222222,NA
"708","njaula","mzia","mvomero.dc","morogoro","nyabula","mlanda","Maguliwa","Iringa DC","iringa","nyabula-mlanda",0.26984126984127,0.472222222222222,NA
"709","njaula","mzia","mvomero.dc","morogoro","nyabula","mlanda","Maguliwa","Iringa DC","iringa","nyabula-mlanda",0.26984126984127,0.472222222222222,NA
"710","njeula.nyumbani","mziha","mvomero.dc","morogoro","nanyamba","namdimba","Chilangala","Newala DC","mtwara","nanyamba-namdimba",0.290196078431373,0.472222222222222,NA
"711","njeura","mziha","mvomero.dc","morogoro","njombe","ramadhani","Ramadhani","Njombe TC","njombe","njombe-ramadhani",0.284722222222222,0.638888888888889,NA
"712","njombe","anasambaza.kata.mbali.mbali","njombe.dc","njombe","njombe","kwivaha","Njombe Mjini","Njombe TC","njombe","njombe-kwivaha",0.19047619047619,0,NA
"713","njombe","chaugingi","njombe.dc","njombe","njombe","kwivaha","Njombe Mjini","Njombe TC","njombe","njombe-kwivaha",0.19047619047619,0,NA
"714","njombe","chaugingi","rujewa","rujewa","njombe","kwivaha","Njombe Mjini","Njombe TC","njombe","njombe-kwivaha",0.19047619047619,0.444444444444445,NA
"715","njombe","njombe","njombe.dc","njombe","njombe","kwivaha","Njombe Mjini","Njombe TC","njombe","njombe-kwivaha",0.19047619047619,0,NA
"716","nkhome","nkhome","bahi.dc","dodoma","nkhome","ibugule","Ibugule","Bahi DC","dodoma","nkhome-ibugule",0.19047619047619,0,NA
"717","nkhwenda","nkhwenda","bahi.dc","dodoma","nkwenda","nkwenda","Nhinhi","Chamwino DC","dodoma","nkwenda-nkwenda",0.219444444444444,0,NA
"718","nkhwenda","nkhwenda","bahi.dc","dodoma","nkwenda","nkwenda","Nkwenda","Kyerwa DC","kagera","nkwenda-nkwenda",0.219444444444444,0.555555555555556,NA
"719","nkome","nkome","bahi.dc","dodoma","nkome","ihumilo","Nkome","Geita DC","geita","nkome-ihumilo",0.205128205128205,0.544444444444445,NA
"720","nkuli","ikungu","bariadi.dc","simiyu","nkulabi","nkulabi","Mpunguzi","Dodoma MC","dodoma","nkulabi-nkulabi",0.222222222222222,0.555555555555556,NA
"721","nkung.ungu","nkung.ungu","chunya.dc","mbeya","nkung'ungu","nkung`ungu","Lupatingatinga","Chunya DC","mbeya","nkung'ungu-nkung`ungu",0.223809523809524,0,NA
"722","nkungwi","sibwesa","tanganyika","tanganyika","nkungwe","nkungwe","Mahembe","Kigoma DC","kigoma","nkungwe-nkungwe",0.247619047619048,0.655555555555556,NA
"723","nkuswe","nkuswe","nkuswe","nkuswe","nkungwe","nkungwe","Mahembe","Kigoma DC","kigoma","nkungwe-nkungwe",0.277777777777778,0.555555555555556,NA
"724","nkwavii","isangawana","chunya.dc","mbeya","nkwae","msisi","Msisi","Singida DC","singida","nkwae-msisi",0.199134199134199,0.552380952380952,NA
"725","nobola","nobola","magu.dc","mwanza","nhobola","nhobola","Nkungulu","Magu DC","mwanza","nhobola-nhobola",0.2,0,NA
"726","ntalamila","intamila","sumbawanga.dc","rukwa","nyabula","mlanda","Maguliwa","Iringa DC","iringa","nyabula-mlanda",0.240740740740741,0.422222222222222,NA
"727","ntalamila","intamila","sumbawanga.dc","rukwa","nyabula","mlanda","Maguliwa","Iringa DC","iringa","nyabula-mlanda",0.240740740740741,0.422222222222222,NA
"728","ntalamila","ivuna","nkasi.dc","rukwa","nyabula","mlanda","Maguliwa","Iringa DC","iringa","nyabula-mlanda",0.240740740740741,0.422222222222222,NA
"729","ntalamila","ivuna","nkasi.dc","rukwa","nyabula","mlanda","Maguliwa","Iringa DC","iringa","nyabula-mlanda",0.240740740740741,0.422222222222222,NA
"730","ntalamila","ntalamila","namanyere","namanyere","nyabula","mlanda","Maguliwa","Iringa DC","iringa","nyabula-mlanda",0.240740740740741,0.481481481481482,NA
"731","ntalamila","ntalamila","namanyere","namanyere","nyabula","mlanda","Maguliwa","Iringa DC","iringa","nyabula-mlanda",0.240740740740741,0.481481481481482,NA
"732","ntatumbila","ntatumbila","nkasi.dc","rukwa","ntatumbila","kisala","Namanyere","Nkasi DC","rukwa","ntatumbila-kisala",0.137254901960784,0,NA
"733","ntuchi","ntuchi","namanyere","namanyere","ntuchi","ntuchi","Isale","Nkasi DC","rukwa","ntuchi-ntuchi",0.17948717948718,0.562962962962963,NA
"734","ntuchi","ntuchi","nkasi.dc","rukwa","ntuchi","ntuchi","Isale","Nkasi DC","rukwa","ntuchi-ntuchi",0.17948717948718,0,NA
"735","ntuchi","tuchi","nkasi.dc","rukwa","ntuchi","ntuchi","Isale","Nkasi DC","rukwa","ntuchi-ntuchi",0.17948717948718,0,NA
"736","ntula","kashishi","mpimbwe.dc","katavi","ntulya","ntulya","Mondo","Misungwi DC","mwanza","ntulya-ntulya",0.205128205128205,0.444444444444445,NA
"737","ntungwa","mbao","momba.dc","songwe","ntungwa","ntungwa","Ivuna","Momba DC","songwe","ntungwa-ntungwa",0.177777777777778,0,NA
"738","ntungwa","mkomba","mkomba","mkomba","ntungwa","ntungwa","Ivuna","Momba DC","songwe","ntungwa-ntungwa",0.177777777777778,0.555555555555556,NA
"739","ntungwa","mkomba","momba.dc","songwe","ntungwa","ntungwa","Ivuna","Momba DC","songwe","ntungwa-ntungwa",0.177777777777778,0,NA
"740","ntungwa","mkuu","momba.dc","songwe","ntungwa","ntungwa","Ivuna","Momba DC","songwe","ntungwa-ntungwa",0.177777777777778,0,NA
"741","nyakiswa","nyakiswa","musoma.dc","mara","nyakisasa","kashinga","Nyakisasa","Ngara DC","kagera","nyakisasa-kashinga",0.24537037037037,0.25,NA
"742","nyamatala","nyamatala","misungwi.dc","mwanza","nyaumata","nyaumata","Somanda","Bariadi TC","simiyu","nyaumata-nyaumata",0.213507625272331,0.555555555555556,NA
"743","nyambwe","nyambwe","mpimbwe.dc","katavi","ntambwe","mweteni","Bwambo","Same DC","kilimanjaro","ntambwe-mweteni",0.247619047619048,0.52020202020202,NA
"744","nyamikoma","nyamikoma","busega.dc","simiyu","nyamikoma","nyashana","Iseni","Kwimba DC","mwanza","nyamikoma-nyashana",0.166666666666667,0.555555555555556,NA
"745","nyamswa","nyamuswa","bariadi.tc","simiyu","nyamswa","nyamswa","Gambosi","Bariadi DC","simiyu","nyamswa-nyamswa",0.177777777777778,0,NA
"746","nyashimo","kalemela","magu.dc","mwanza","nyashimba","nyasimba","Ng'wigwa","Maswa DC","simiyu","nyashimba-nyasimba",0.24537037037037,0.555555555555556,NA
"747","nyashimo","kibinda","busega.dc","simiyu","nyashimba","nyasimba","Ng'wigwa","Maswa DC","simiyu","nyashimba-nyasimba",0.24537037037037,0,NA
"748","nyashimo","nyashimo","busega.dc","simiyu","nyashimba","nyasimba","Ng'wigwa","Maswa DC","simiyu","nyashimba-nyasimba",0.24537037037037,0,NA
"749","nyatwali","nyatwali","bunda.dc","mara","nyatwali","mashariki","Nyatwali","Bunda TC","mara","nyatwali-mashariki",0.185185185185185,0,NA
"750","nyumbani.lukande","lukande","lukande","lukande","nyumbani","stamico","Ludete","Geita DC","geita","nyumbani-stamico",0.291666666666667,0.552380952380952,NA
"751","nyumbani.lukande","lukande","lukande","lukande","nyumbani","stamico","Ludete","Geita DC","geita","nyumbani-stamico",0.291666666666667,0.552380952380952,NA
"752","nyumbani.mnadani","mnadani","maswa.dc","simiyu","nyumbanitu","nyumbanitu","Igima","Wanging'ombe DC","njombe","nyumbanitu-nyumbanitu",0.215125152625153,0.555555555555556,NA
"753","paramawe","paramawe","namanyere","namanyere","mawa","mawa","Hanga","Namtumbo DC","ruvuma","mawa-mawa",0.273148148148148,0.481481481481482,NA
"754","paramawe","paramawe","nkasi.dc","rukwa","mawa","mawa","Hanga","Namtumbo DC","ruvuma","mawa-mawa",0.273148148148148,0.3,NA
"755","pugu","pugu","kibaha.dc","pwani","pugu","itubukilo","Sakwe","Bariadi DC","simiyu","pugu-itubukilo",0.238095238095238,0.544444444444445,NA
"756","pugu","pugu","pugu","pugu","pugu","itubukilo","Sakwe","Bariadi DC","simiyu","pugu-itubukilo",0.238095238095238,0.527777777777778,NA
"757","pwani.dar.es.salaam","pwani.dar.es.salaam","pwani.dar.es.salaam","pwani.dar.es.salaam","b.a.p swaminarayan","kisutu","Kisutu","Ilala MC","dar es salaam","b.a.p swaminarayan-kisutu",0.336842105263158,0.312845049687155,NA
"758","pwani.dar.es.salaam","pwani.dar.es.salaam","pwani.dar.es.salaam","pwani.dar.es.salaam","b.a.p swaminarayan","kisutu","Kisutu","Ilala MC","dar es salaam","b.a.p swaminarayan-kisutu",0.336842105263158,0.312845049687155,NA
