"","place","ward.A","dist.A","reg.A","pwd.A","wd.A","wdr.A","ward.B","dist.B","reg.B","wd.B","wdr.B","dist.A.dist","reg.A.dist","ward.A.dist","dist","dist_sum","acceptWDR"
"276","igumbilo","milola","ulanga.dc","morogoro","igumbilo-milola-ulanga.dc","milola-ulanga.dc","milola-ulanga.dc-morogoro","ilonga","ulanga.dc","morogoro","ilonga-ulanga.dc","ilonga-ulanga.dc-morogoro",0,0,0.222222222222222,NA,0.222222222222222,NA
"277","igumbilo.milola.na.mavimba","milola","ulanga.dc","morogoro","igumbilo.milola.na.mavimba-milola-ulanga.dc","milola-ulanga.dc","milola-ulanga.dc-morogoro","ilonga","ulanga.dc","morogoro","ilonga-ulanga.dc","ilonga-ulanga.dc-morogoro",0,0,0.222222222222222,NA,0.222222222222222,NA
"278","igumbiro","milola","ulanga.dc","morogoro","igumbiro-milola-ulanga.dc","milola-ulanga.dc","milola-ulanga.dc-morogoro","ilonga","ulanga.dc","morogoro","ilonga-ulanga.dc","ilonga-ulanga.dc-morogoro",0,0,0.222222222222222,NA,0.222222222222222,NA
"279","igumbiro.nyumbani","milola","ulanga.dc","morogoro","igumbiro.nyumbani-milola-ulanga.dc","milola-ulanga.dc","milola-ulanga.dc-morogoro","ilonga","ulanga.dc","morogoro","ilonga-ulanga.dc","ilonga-ulanga.dc-morogoro",0,0,0.222222222222222,NA,0.222222222222222,NA
"280","igunda","igava","mbarali.dc","mbeya","igunda-igava-mbarali.dc","igava-mbarali.dc","igava-mbarali.dc-mbeya","igava","mbarali.dc","mbeya","igava-mbarali.dc","igava-mbarali.dc-mbeya",0,0,0,NA,0,"acceptWDR0"
"281","iguru","iguru","bariadi.dc","simiyu","iguru-iguru-bariadi.dc","iguru-bariadi.dc","iguru-bariadi.dc-simiyu","guduwi","bariadi.tc","simiyu","guduwi-bariadi.tc","guduwi-bariadi.tc-simiyu",0.0666666666666668,0,0.3,NA,0.366666666666667,NA
"282","igurusi","igurusi","mbarali.dc","mbeya","igurusi-igurusi-mbarali.dc","igurusi-mbarali.dc","igurusi-mbarali.dc-mbeya","igurusi","mbarali.dc","mbeya","igurusi-mbarali.dc","igurusi-mbarali.dc-mbeya",0,0,0,NA,0,"acceptWDR0"
"283","igwachanya","igwachanya","wanging.ombe.dc","njombe","igwachanya-igwachanya-wanging.ombe.dc","igwachanya-wanging.ombe.dc","igwachanya-wanging.ombe.dc-njombe","igwachanya","wanging.ombe.dc","njombe","igwachanya-wanging.ombe.dc","igwachanya-wanging.ombe.dc-njombe",0,0,0,NA,0,"acceptWDR0"
"284","ihanga","rujewa","mbarali.dc","mbeya","ihanga-rujewa-mbarali.dc","rujewa-mbarali.dc","rujewa-mbarali.dc-mbeya","rujewa","mbarali.dc","mbeya","rujewa-mbarali.dc","rujewa-mbarali.dc-mbeya",0,0,0,NA,0,"acceptWDR0"
"285","ihanga.mwanavala","imalilosongwe","mbarali.dc","mbeya","ihanga.mwanavala-imalilosongwe-mbarali.dc","imalilosongwe-mbarali.dc","imalilosongwe-mbarali.dc-mbeya","imalilosongwe","mbarali.dc","mbeya","imalilosongwe-mbarali.dc","imalilosongwe-mbarali.dc-mbeya",0,0,0,NA,0,"acceptWDR0"
"286","iheha","mad","mbarali.dc","mbeya","iheha-mad-mbarali.dc","mad-mbarali.dc","mad-mbarali.dc-mbeya","madibira","mbarali.dc","mbeya","madibira-mbarali.dc","madibira-mbarali.dc-mbeya",0,0,0.208333333333333,NA,0.208333333333333,NA
"287","iheha","madibila","mbarali.dc","mbeya","iheha-madibila-mbarali.dc","madibila-mbarali.dc","madibila-mbarali.dc-mbeya","madibira","mbarali.dc","mbeya","madibira-mbarali.dc","madibira-mbarali.dc-mbeya",0,0,0.0833333333333334,NA,0.0833333333333334,"acceptWDR2"
"288","iheha","madibira","mbarali.dc","mbeya","iheha-madibira-mbarali.dc","madibira-mbarali.dc","madibira-mbarali.dc-mbeya","madibira","mbarali.dc","mbeya","madibira-mbarali.dc","madibira-mbarali.dc-mbeya",0,0,0,NA,0,"acceptWDR0"
"289","ihenga","mofu","mlimba","mlimba","ihenga-mofu-mlimba","mofu-mlimba","mofu-mlimba-mlimba","mofu","kilombero.dc","morogoro","mofu-kilombero.dc","mofu-kilombero.dc-morogoro",0.416666666666667,0.569444444444445,0,NA,0.986111111111111,NA
"290","ihowanza","ihowanza","ihowanza","ihowanza","ihowanza-ihowanza-ihowanza","ihowanza-ihowanza","ihowanza-ihowanza-ihowanza","vigwaza","chalinze.dc","pwani","vigwaza-chalinze.dc","vigwaza-chalinze.dc-pwani",0.406818181818182,0.341666666666667,0.220238095238095,NA,0.968722943722944,NA
"291","ihowanza","ihowanza","mufindi.dc","iringa","ihowanza-ihowanza-mufindi.dc","ihowanza-mufindi.dc","ihowanza-mufindi.dc-iringa","ihowanza","mufindi.dc","iringa","ihowanza-mufindi.dc","ihowanza-mufindi.dc-iringa",0,0,0,NA,0,"acceptWDR0"
"292","ihowewanga","ihowewanga","malinyi.dc","morogoro","ihowewanga-ihowewanga-malinyi.dc","ihowewanga-malinyi.dc","ihowewanga-malinyi.dc-morogoro","ngoheranga","malinyi.dc","morogoro","ngoheranga-malinyi.dc","ngoheranga-malinyi.dc-morogoro",0,0,0.247619047619048,NA,0.247619047619048,NA
"293","ikangamwani","idunda","mufindi.dc","iringa","ikangamwani-idunda-mufindi.dc","idunda-mufindi.dc","idunda-mufindi.dc-iringa","idunda","mufindi.dc","iringa","idunda-mufindi.dc","idunda-mufindi.dc-iringa",0,0,0,NA,0,"acceptWDR0"
"294","ikanutwa","igava","mbarali.dc","mbeya","ikanutwa-igava-mbarali.dc","igava-mbarali.dc","igava-mbarali.dc-mbeya","igava","mbarali.dc","mbeya","igava-mbarali.dc","igava-mbarali.dc-mbeya",0,0,0,NA,0,"acceptWDR0"
"295","ikingula","wanging.ombe","wanging.ombe.dc","njombe","ikingula-wanging.ombe-wanging.ombe.dc","wanging.ombe-wanging.ombe.dc","wanging.ombe-wanging.ombe.dc-njombe","wanging.ombe","wanging.ombe.dc","njombe","wanging.ombe-wanging.ombe.dc","wanging.ombe-wanging.ombe.dc-njombe",0,0,0,NA,0,"acceptWDR0"
"296","ikizi","ikizi","nkasi.dc","rukwa","ikizi-ikizi-nkasi.dc","ikizi-nkasi.dc","ikizi-nkasi.dc-rukwa","kipili","nkasi.dc","rukwa","kipili-nkasi.dc","kipili-nkasi.dc-rukwa",0,0,0.261111111111111,NA,0.261111111111111,NA
"297","ikoga","madibira","mbarali.dc","mbeya","ikoga-madibira-mbarali.dc","madibira-mbarali.dc","madibira-mbarali.dc-mbeya","madibira","mbarali.dc","mbeya","madibira-mbarali.dc","madibira-mbarali.dc-mbeya",0,0,0,NA,0,"acceptWDR0"
"298","ikola","ikola","tanganyika","tanganyika","ikola-ikola-tanganyika","ikola-tanganyika","ikola-tanganyika-tanganyika","chongoleani","tanga.cc","tanga","chongoleani-tanga.cc","chongoleani-tanga.cc-tanga",0.291666666666667,0.166666666666667,0.375757575757576,NA,0.834090909090909,NA
"299","ikoma","kijima","misungwi.dc","mwanza","ikoma-kijima-misungwi.dc","kijima-misungwi.dc","kijima-misungwi.dc-mwanza","kijima","misungwi.dc","mwanza","kijima-misungwi.dc","kijima-misungwi.dc-mwanza",0,0,0,NA,0,"acceptWDR0"
"300","ikongo","mwaya","ulanga.dc","morogoro","ikongo-mwaya-ulanga.dc","mwaya-ulanga.dc","mwaya-ulanga.dc-morogoro","mwaya","ulanga.dc","morogoro","mwaya-ulanga.dc","mwaya-ulanga.dc-morogoro",0,0,0,NA,0,"acceptWDR0"
"301","ikorongo","itunundu","iringa.dc","iringa","ikorongo-itunundu-iringa.dc","itunundu-iringa.dc","itunundu-iringa.dc-iringa","itunundu","iringa.dc","iringa","itunundu-iringa.dc","itunundu-iringa.dc-iringa",0,0,0,NA,0,"acceptWDR0"
"302","ikuba","ikuba","ikuba","ikuba","ikuba-ikuba-ikuba","ikuba-ikuba","ikuba-ikuba-ikuba","ikuba","mpimbwe.dc","katavi","ikuba-mpimbwe.dc","ikuba-mpimbwe.dc-katavi",0.466666666666667,0.422222222222222,0,NA,0.888888888888889,NA
"303","ikuba","ikuba","mpimbwe.dc","katavi","ikuba-ikuba-mpimbwe.dc","ikuba-mpimbwe.dc","ikuba-mpimbwe.dc-katavi","ikuba","mpimbwe.dc","katavi","ikuba-mpimbwe.dc","ikuba-mpimbwe.dc-katavi",0,0,0,NA,0,"acceptWDR0"
"304","ikuba","ikuba","wilaya","wilaya","ikuba-ikuba-wilaya","ikuba-wilaya","ikuba-wilaya-wilaya","kirumba","ilemela.mc","mwanza","kirumba-ilemela.mc","kirumba-ilemela.mc-mwanza",0.4,0.333333333333333,0.161904761904762,NA,0.895238095238095,NA
"305","ikuba","mamba","mpimbwe.dc","katavi","ikuba-mamba-mpimbwe.dc","mamba-mpimbwe.dc","mamba-mpimbwe.dc-katavi","mamba","mpimbwe.dc","katavi","mamba-mpimbwe.dc","mamba-mpimbwe.dc-katavi",0,0,0,NA,0,"acceptWDR0"
"306","ikulimambo","uhenga","wanging.ombe.dc","njombe","ikulimambo-uhenga-wanging.ombe.dc","uhenga-wanging.ombe.dc","uhenga-wanging.ombe.dc-njombe","luduga","wanging.ombe.dc","njombe","luduga-wanging.ombe.dc","luduga-wanging.ombe.dc-njombe",0,0,0.333333333333333,NA,0.333333333333333,NA
"307","ikulu.kiswago","sofi","malinyi.dc","morogoro","ikulu.kiswago-sofi-malinyi.dc","sofi-malinyi.dc","sofi-malinyi.dc-morogoro","sofi","malinyi.dc","morogoro","sofi-malinyi.dc","sofi-malinyi.dc-morogoro",0,0,0,NA,0,"acceptWDR0"
"308","ikulwe","majimoto","mpimbwe.dc","katavi","ikulwe-majimoto-mpimbwe.dc","majimoto-mpimbwe.dc","majimoto-mpimbwe.dc-katavi","majimoto","mpimbwe.dc","katavi","majimoto-mpimbwe.dc","majimoto-mpimbwe.dc-katavi",0,0,0,NA,0,"acceptWDR0"
"309","ikungua","kichangani","ulanga.dc","morogoro","ikungua-kichangani-ulanga.dc","kichangani-ulanga.dc","kichangani-ulanga.dc-morogoro","kichangani","ulanga.dc","morogoro","kichangani-ulanga.dc","kichangani-ulanga.dc-morogoro",0,0,0,NA,0,"acceptWDR0"
"310","ikunguligu","ikunguligu","itilima.dc","simiyu","ikunguligu-ikunguligu-itilima.dc","ikunguligu-itilima.dc","ikunguligu-itilima.dc-simiyu","lugulu","itilima.dc","simiyu","lugulu-itilima.dc","lugulu-itilima.dc-simiyu",0,0,0.222222222222222,NA,0.222222222222222,NA
"311","ikungulipu","luguru","itilima.dc","simiyu","ikungulipu-luguru-itilima.dc","luguru-itilima.dc","luguru-itilima.dc-simiyu","lugulu","itilima.dc","simiyu","lugulu-itilima.dc","lugulu-itilima.dc-simiyu",0,0,0.111111111111111,NA,0.111111111111111,"acceptWDR2"
"312","ikungulyambeshi","ikungulyambeshi","bariadi.dc","simiyu","ikungulyambeshi-ikungulyambeshi-bariadi.dc","ikungulyambeshi-bariadi.dc","ikungulyambeshi-bariadi.dc-simiyu","ikungulyabashashi","bariadi.dc","simiyu","ikungulyabashashi-bariadi.dc","ikungulyabashashi-bariadi.dc-simiyu",0,0,0.122875816993464,NA,0.122875816993464,"acceptWDR2"
"313","ikungulyambeshi.a","kilalo","bariadi.dc","simiyu","ikungulyambeshi.a-kilalo-bariadi.dc","kilalo-bariadi.dc","kilalo-bariadi.dc-simiyu","kilalo","bariadi.dc","simiyu","kilalo-bariadi.dc","kilalo-bariadi.dc-simiyu",0,0,0,NA,0,"acceptWDR0"
"314","ilala","inyonga","mlele.dc","katavi","ilala-inyonga-mlele.dc","inyonga-mlele.dc","inyonga-mlele.dc-katavi","inyonga","mlele.dc","katavi","inyonga-mlele.dc","inyonga-mlele.dc-katavi",0,0,0,NA,0,"acceptWDR0"
"315","ilalangulu","kibaoni","mpimbwe.dc","katavi","ilalangulu-kibaoni-mpimbwe.dc","kibaoni-mpimbwe.dc","kibaoni-mpimbwe.dc-katavi","kibaoni","mpimbwe.dc","katavi","kibaoni-mpimbwe.dc","kibaoni-mpimbwe.dc-katavi",0,0,0,NA,0,"acceptWDR0"
"316","ilambilole","kising.a","iringa.dc","iringa","ilambilole-kising.a-iringa.dc","kising.a-iringa.dc","kising.a-iringa.dc-iringa","kalenga","iringa.dc","iringa","kalenga-iringa.dc","kalenga-iringa.dc-iringa",0,0,0.30952380952381,NA,0.30952380952381,NA
"317","ilambo","kilangawqna","sumbawanga.dc","rukwa","ilambo-kilangawqna-sumbawanga.dc","kilangawqna-sumbawanga.dc","kilangawqna-sumbawanga.dc-rukwa","kaengesa","sumbawanga.dc","rukwa","kaengesa-sumbawanga.dc","kaengesa-sumbawanga.dc-rukwa",0,0,0.306818181818182,NA,0.306818181818182,NA
"318","ilambo","kilyamatundu","sumbawanga.dc","rukwa","ilambo-kilyamatundu-sumbawanga.dc","kilyamatundu-sumbawanga.dc","kilyamatundu-sumbawanga.dc-rukwa","katandala","sumbawanga.mc","rukwa","katandala-sumbawanga.mc","katandala-sumbawanga.mc-rukwa",0.0512820512820513,0,0.332010582010582,NA,0.383292633292633,NA
"319","ilambo","kipeta","sumbawanga.dc","rukwa","ilambo-kipeta-sumbawanga.dc","kipeta-sumbawanga.dc","kipeta-sumbawanga.dc-rukwa","kipeta","sumbawanga.dc","rukwa","kipeta-sumbawanga.dc","kipeta-sumbawanga.dc-rukwa",0,0,0,NA,0,"acceptWDR0"
"320","ilambo","kolangawana","sumbawanga.dc","rukwa","ilambo-kolangawana-sumbawanga.dc","kolangawana-sumbawanga.dc","kolangawana-sumbawanga.dc-rukwa","kaengesa","sumbawanga.dc","rukwa","kaengesa-sumbawanga.dc","kaengesa-sumbawanga.dc-rukwa",0,0,0.306818181818182,NA,0.306818181818182,NA
"321","ilanga","muze","sumbawanga.dc","rukwa","ilanga-muze-sumbawanga.dc","muze-sumbawanga.dc","muze-sumbawanga.dc-rukwa","muze","sumbawanga.dc","rukwa","muze-sumbawanga.dc","muze-sumbawanga.dc-rukwa",0,0,0,NA,0,"acceptWDR0"
"322","ilangawana","ilangawana","sumbawanga.dc","rukwa","ilangawana-ilangawana-sumbawanga.dc","ilangawana-sumbawanga.dc","ilangawana-sumbawanga.dc-rukwa","miangalua","sumbawanga.dc","rukwa","miangalua-sumbawanga.dc","miangalua-sumbawanga.dc-rukwa",0,0,0.244444444444444,NA,0.244444444444444,NA
"323","ilemba","ilemba","sumbawanga.dc","rukwa","ilemba-ilemba-sumbawanga.dc","ilemba-sumbawanga.dc","ilemba-sumbawanga.dc-rukwa","ilemba","sumbawanga.dc","rukwa","ilemba-sumbawanga.dc","ilemba-sumbawanga.dc-rukwa",0,0,0,NA,0,"acceptWDR0"
"324","ilembo","inyonga","mlele.dc","katavi","ilembo-inyonga-mlele.dc","inyonga-mlele.dc","inyonga-mlele.dc-katavi","inyonga","mlele.dc","katavi","inyonga-mlele.dc","inyonga-mlele.dc-katavi",0,0,0,NA,0,"acceptWDR0"
"325","ilembula","ilembula","wanging.ombe.dc","njombe","ilembula-ilembula-wanging.ombe.dc","ilembula-wanging.ombe.dc","ilembula-wanging.ombe.dc-njombe","ilembula","wanging.ombe.dc","njombe","ilembula-wanging.ombe.dc","ilembula-wanging.ombe.dc-njombe",0,0,0,NA,0,"acceptWDR0"
"326","ilengo","mkomba","momba.dc","songwe","ilengo-mkomba-momba.dc","mkomba-momba.dc","mkomba-momba.dc-songwe","kamsamba","momba.dc","songwe","kamsamba-momba.dc","kamsamba-momba.dc-songwe",0,0,0.347222222222222,NA,0.347222222222222,NA
"327","ilindi","ilindi","bahi.dc","dodoma","ilindi-ilindi-bahi.dc","ilindi-bahi.dc","ilindi-bahi.dc-dodoma","ilindi","bahi.dc","dodoma","ilindi-bahi.dc","ilindi-bahi.dc-dodoma",0,0,0,NA,0,"acceptWDR0"
"328","ilindi.nguji","ilindi","bahi.dc","dodoma","ilindi.nguji-ilindi-bahi.dc","ilindi-bahi.dc","ilindi-bahi.dc-dodoma","ilindi","bahi.dc","dodoma","ilindi-bahi.dc","ilindi-bahi.dc-dodoma",0,0,0,NA,0,"acceptWDR0"
"329","ilolo.mpya","ilolo.mpya","iringa.dc","iringa","ilolo.mpya-ilolo.mpya-iringa.dc","ilolo.mpya-iringa.dc","ilolo.mpya-iringa.dc-iringa","ilolo.mpya","iringa.dc","iringa","ilolo.mpya-iringa.dc","ilolo.mpya-iringa.dc-iringa",0,0,0,NA,0,"acceptWDR0"
"330","ilolo.mpya","itunundu","iringa.dc","iringa","ilolo.mpya-itunundu-iringa.dc","itunundu-iringa.dc","itunundu-iringa.dc-iringa","itunundu","iringa.dc","iringa","itunundu-iringa.dc","itunundu-iringa.dc-iringa",0,0,0,NA,0,"acceptWDR0"
"331","ilomba","idiwili","mbozi.dc","songwe","ilomba-idiwili-mbozi.dc","idiwili-mbozi.dc","idiwili-mbozi.dc-songwe","isandula","mbozi.dc","songwe","isandula-mbozi.dc","isandula-mbozi.dc-songwe",0,0,0.398809523809524,NA,0.398809523809524,NA
"332","ilumba","ngudu","kwimba.dc","mwanza","ilumba-ngudu-kwimba.dc","ngudu-kwimba.dc","ngudu-kwimba.dc-mwanza","ngudu","kwimba.dc","mwanza","ngudu-kwimba.dc","ngudu-kwimba.dc-mwanza",0,0,0,NA,0,"acceptWDR0"
"333","ilunde","ilunde","mlele.dc","katavi","ilunde-ilunde-mlele.dc","ilunde-mlele.dc","ilunde-mlele.dc-katavi","ilunde","mlele.dc","katavi","ilunde-mlele.dc","ilunde-mlele.dc-katavi",0,0,0,NA,0,"acceptWDR0"
"334","ilunde","inyonga","mlele.dc","katavi","ilunde-inyonga-mlele.dc","inyonga-mlele.dc","inyonga-mlele.dc-katavi","inyonga","mlele.dc","katavi","inyonga-mlele.dc","inyonga-mlele.dc-katavi",0,0,0,NA,0,"acceptWDR0"
"335","imalauduki","kamsisi","mlele.dc","katavi","imalauduki-kamsisi-mlele.dc","kamsisi-mlele.dc","kamsisi-mlele.dc-katavi","nsenkwa","mlele.dc","katavi","nsenkwa-mlele.dc","nsenkwa-mlele.dc-katavi",0,0,0.571428571428572,NA,0.571428571428572,NA
"336","imalilo","bunamala","bariadi.tc","simiyu","imalilo-bunamala-bariadi.tc","bunamala-bariadi.tc","bunamala-bariadi.tc-simiyu","bunamhala","bariadi.tc","simiyu","bunamhala-bariadi.tc","bunamhala-bariadi.tc-simiyu",0,0,0.0370370370370371,NA,0.0370370370370371,"acceptWDR2"
"337","imalilosongwe","ihowanza","mufindi.dc","iringa","imalilosongwe-ihowanza-mufindi.dc","ihowanza-mufindi.dc","ihowanza-mufindi.dc-iringa","ihowanza","mufindi.dc","iringa","ihowanza-mufindi.dc","ihowanza-mufindi.dc-iringa",0,0,0,NA,0,"acceptWDR0"
"338","imalilosongwe","imalilasongwe","mbarali.dc","mbeya","imalilosongwe-imalilasongwe-mbarali.dc","imalilasongwe-mbarali.dc","imalilasongwe-mbarali.dc-mbeya","imalilosongwe","mbarali.dc","mbeya","imalilosongwe-mbarali.dc","imalilosongwe-mbarali.dc-mbeya",0,0,0.0790598290598291,NA,0.0790598290598291,"acceptWDR2"
"339","imalilosongwe","imalilosongwe","mbarali.dc","mbeya","imalilosongwe-imalilosongwe-mbarali.dc","imalilosongwe-mbarali.dc","imalilosongwe-mbarali.dc-mbeya","imalilosongwe","mbarali.dc","mbeya","imalilosongwe-mbarali.dc","imalilosongwe-mbarali.dc-mbeya",0,0,0,NA,0,"acceptWDR0"
"340","imalilosongwe","imalilosongwe","songwe.dc","songwe","imalilosongwe-imalilosongwe-songwe.dc","imalilosongwe-songwe.dc","imalilosongwe-songwe.dc-songwe","galula","songwe.dc","songwe","galula-songwe.dc","galula-songwe.dc-songwe",0,0,0.423076923076923,NA,0.423076923076923,NA
"341","imalinyi","imalinyi","njombe.dc","njombe","imalinyi-imalinyi-njombe.dc","imalinyi-njombe.dc","imalinyi-njombe.dc-njombe","imalinyi","wanging.ombe.dc","njombe","imalinyi-wanging.ombe.dc","imalinyi-wanging.ombe.dc-njombe",0.296759259259259,0,0,NA,0.296759259259259,"acceptWDR1"
"342","imarauduki","kamsisi","mlele.dc","katavi","imarauduki-kamsisi-mlele.dc","kamsisi-mlele.dc","kamsisi-mlele.dc-katavi","nsenkwa","mlele.dc","katavi","nsenkwa-mlele.dc","nsenkwa-mlele.dc-katavi",0,0,0.571428571428572,NA,0.571428571428572,NA
"343","imilamate","itenka","nsimbo.dc","katavi","imilamate-itenka-nsimbo.dc","itenka-nsimbo.dc","itenka-nsimbo.dc-katavi","itenka","nsimbo.dc","katavi","itenka-nsimbo.dc","itenka-nsimbo.dc-katavi",0,0,0,NA,0,"acceptWDR0"
"344","ingongwa","sumbuku","misungwi.dc","mwanza","ingongwa-sumbuku-misungwi.dc","sumbuku-misungwi.dc","sumbuku-misungwi.dc-mwanza","sumbugu","misungwi.dc","mwanza","sumbugu-misungwi.dc","sumbugu-misungwi.dc-mwanza",0,0,0.0952380952380952,NA,0.0952380952380952,"acceptWDR2"
"345","inonelwa","misasi","misungwi.dc","mwanza","inonelwa-misasi-misungwi.dc","misasi-misungwi.dc","misasi-misungwi.dc-mwanza","masasi","misungwi.dc","mwanza","masasi-misungwi.dc","masasi-misungwi.dc-mwanza",0,0,0.177777777777778,NA,0.177777777777778,"acceptWDR2"
"346","inteka","inteka","nsimbo.dc","katavi","inteka-inteka-nsimbo.dc","inteka-nsimbo.dc","inteka-nsimbo.dc-katavi","itenka","nsimbo.dc","katavi","itenka-nsimbo.dc","itenka-nsimbo.dc-katavi",0,0,0.0833333333333334,NA,0.0833333333333334,"acceptWDR2"
"347","inyasungulu","madibira","mbarali.dc","mbeya","inyasungulu-madibira-mbarali.dc","madibira-mbarali.dc","madibira-mbarali.dc-mbeya","madibira","mbarali.dc","mbeya","madibira-mbarali.dc","madibira-mbarali.dc-mbeya",0,0,0,NA,0,"acceptWDR0"
"348","inyonga","inyonga","mlele.dc","katavi","inyonga-inyonga-mlele.dc","inyonga-mlele.dc","inyonga-mlele.dc-katavi","inyonga","mlele.dc","katavi","inyonga-mlele.dc","inyonga-mlele.dc-katavi",0,0,0,NA,0,"acceptWDR0"
"349","ipanda","ipanda","nkasi.dc","rukwa","ipanda-ipanda-nkasi.dc","ipanda-nkasi.dc","ipanda-nkasi.dc-rukwa","kipande","nkasi.dc","rukwa","kipande-nkasi.dc","kipande-nkasi.dc-rukwa",0,0,0.150793650793651,NA,0.150793650793651,"acceptWDR2"
"350","ipanda","namanyere","nkasi.dc","rukwa","ipanda-namanyere-nkasi.dc","namanyere-nkasi.dc","namanyere-nkasi.dc-rukwa","namanyere","nkasi.dc","rukwa","namanyere-nkasi.dc","namanyere-nkasi.dc-rukwa",0,0,0,NA,0,"acceptWDR0"
"351","ipanda","nkomolo","nkasi.dc","rukwa","ipanda-nkomolo-nkasi.dc","nkomolo-nkasi.dc","nkomolo-nkasi.dc-rukwa","nkomolo","nkasi.dc","rukwa","nkomolo-nkasi.dc","nkomolo-nkasi.dc-rukwa",0,0,0,NA,0,"acceptWDR0"
"352","ipera","itete.njiwa","malinyi.dc","morogoro","ipera-itete.njiwa-malinyi.dc","itete.njiwa-malinyi.dc","itete.njiwa-malinyi.dc-morogoro","itete","malinyi.dc","morogoro","itete-malinyi.dc","itete-malinyi.dc-morogoro",0,0,0.181818181818182,NA,0.181818181818182,"acceptWDR2"
"353","ipera.asilia","itete.njiwa","malinyi.dc","morogoro","ipera.asilia-itete.njiwa-malinyi.dc","itete.njiwa-malinyi.dc","itete.njiwa-malinyi.dc-morogoro","itete","malinyi.dc","morogoro","itete-malinyi.dc","itete-malinyi.dc-morogoro",0,0,0.181818181818182,NA,0.181818181818182,"acceptWDR2"
"354","ipilimo","malangali","mufindi.dc","iringa","ipilimo-malangali-mufindi.dc","malangali-mufindi.dc","malangali-mufindi.dc-iringa","malangali","mufindi.dc","iringa","malangali-mufindi.dc","malangali-mufindi.dc-iringa",0,0,0,NA,0,"acceptWDR0"
"355","ipiyo","marika","masasi.dc","mtwara","ipiyo-marika-masasi.dc","marika-masasi.dc","marika-masasi.dc-mtwara","marika","masasi.tc","mtwara","marika-masasi.tc","marika-masasi.tc-mtwara",0.0740740740740742,0,0,NA,0.0740740740740742,"acceptWDR1"
"356","iputi","mbuga","ulanga.dc","morogoro","iputi-mbuga-ulanga.dc","mbuga-ulanga.dc","mbuga-ulanga.dc-morogoro","mbuga","ulanga.dc","morogoro","mbuga-ulanga.dc","mbuga-ulanga.dc-morogoro",0,0,0,NA,0,"acceptWDR0"
"357","iputi.nyumbani","mbuga","ulanga.dc","morogoro","iputi.nyumbani-mbuga-ulanga.dc","mbuga-ulanga.dc","mbuga-ulanga.dc-morogoro","mbuga","ulanga.dc","morogoro","mbuga-ulanga.dc","mbuga-ulanga.dc-morogoro",0,0,0,NA,0,"acceptWDR0"
"358","ipwani","ipwani","mbarali.dc","mbeya","ipwani-ipwani-mbarali.dc","ipwani-mbarali.dc","ipwani-mbarali.dc-mbeya","ipwani","mbarali.dc","mbeya","ipwani-mbarali.dc","ipwani-mbarali.dc-mbeya",0,0,0,NA,0,"acceptWDR0"
"359","ipwani","madibira","mbarali.dc","mbeya","ipwani-madibira-mbarali.dc","madibira-mbarali.dc","madibira-mbarali.dc-mbeya","madibira","mbarali.dc","mbeya","madibira-mbarali.dc","madibira-mbarali.dc-mbeya",0,0,0,NA,0,"acceptWDR0"
"360","iragua","iragua","ulanga.dc","morogoro","iragua-iragua-ulanga.dc","iragua-ulanga.dc","iragua-ulanga.dc-morogoro","iragua","ulanga.dc","morogoro","iragua-ulanga.dc","iragua-ulanga.dc-morogoro",0,0,0,NA,0,"acceptWDR0"
"361","iragua.london","iragua","ulanga.dc","morogoro","iragua.london-iragua-ulanga.dc","iragua-ulanga.dc","iragua-ulanga.dc-morogoro","iragua","ulanga.dc","morogoro","iragua-ulanga.dc","iragua-ulanga.dc-morogoro",0,0,0,NA,0,"acceptWDR0"
"362","iragua.mission","iragua","ulanga.dc","morogoro","iragua.mission-iragua-ulanga.dc","iragua-ulanga.dc","iragua-ulanga.dc-morogoro","iragua","ulanga.dc","morogoro","iragua-ulanga.dc","iragua-ulanga.dc-morogoro",0,0,0,NA,0,"acceptWDR0"
"363","iragua.mission.nyumbani","iragua","ulanga.dc","morogoro","iragua.mission.nyumbani-iragua-ulanga.dc","iragua-ulanga.dc","iragua-ulanga.dc-morogoro","iragua","ulanga.dc","morogoro","iragua-ulanga.dc","iragua-ulanga.dc-morogoro",0,0,0,NA,0,"acceptWDR0"
"364","iramba","ngudu","kwimba.dc","mwanza","iramba-ngudu-kwimba.dc","ngudu-kwimba.dc","ngudu-kwimba.dc-mwanza","ngudu","kwimba.dc","mwanza","ngudu-kwimba.dc","ngudu-kwimba.dc-mwanza",0,0,0,NA,0,"acceptWDR0"
"365","iringa","ipogoro","iringa.dc","iringa","iringa-ipogoro-iringa.dc","ipogoro-iringa.dc","ipogoro-iringa.dc-iringa","kihorogota","iringa.dc","iringa","kihorogota-iringa.dc","kihorogota-iringa.dc-iringa",0,0,0.236507936507937,NA,0.236507936507937,NA
"366","iringa","iringa","iringa.mc","iringa","iringa-iringa-iringa.mc","iringa-iringa.mc","iringa-iringa.mc-iringa","mtwivila","iringa.mc","iringa","mtwivila-iringa.mc","mtwivila-iringa.mc-iringa",0,0,0.375,NA,0.375,NA
"367","iringa","kihesa","iringa.mc","iringa","iringa-kihesa-iringa.mc","kihesa-iringa.mc","kihesa-iringa.mc-iringa","kihesa","iringa.mc","iringa","kihesa-iringa.mc","kihesa-iringa.mc-iringa",0,0,0,NA,0,"acceptWDR0"
