"fid","date","country","region","district","district20","ward","village","market","gps.coordinates.of.the.market","unique.row.identifier.uuid.","humpop_density1km","shppop_10km","gtpop_10km","anmlpop_10km","prod.sys","town.distkm","town.type","road.distkm","road.type"
1157395,2022-06-02,6,"mtwara","masasi","masasi.dc","chiungutwa","chiungutwa","chiungutwa","-10.8934518 38.987719 230.076416015625 4.561","078eff44-e2b7-11ec-9416-9440c9ab47f0",451.943359375,61.7412872314453,4978.4560546875,5040.19734191895,"mixed-rainfed-arid",18.04,"other",0.05,"trail"
1157529,2022-06-01,6,"morogoro","ulanga","ulanga.dc","minepa","mbuyuni","mbuyuni","-8.2398367 36.6833767 215.06686133284956 4.1","08a9d597-e2b7-11ec-9416-9440c9ab47f0",98.2378997802734,300.60009765625,1318.21325683594,1618.81335449219,"mixed-rainfed-humid",4.33,"other",0.26,"trail"
1157687,2022-06-01,6,"dodoma","bahi","bahi.dc","bahi","bahi.sokoni","bahi","-5.9624894 35.334974 836.6556481038064 5.0","31941180-e380-11ec-9416-9440c9ab47f0",220.838592529297,1549.005859375,3111.10107421875,4660.10693359375,"mixed-rainfed-arid",22.38,"other",0.2,"tertiary"
1157708,2022-06-03,6,"katavi","mpanda","mpanda.dc","kabungu","minyagala","minyagala","-6.417779 30.7914399 1026.6599661164819 4.8","31593dd0-e380-11ec-9416-9440c9ab47f0",30.7795562744141,66.6334381103516,389.146911621094,455.780349731445,"livestock-arid",10.18,"other",6.8,"tertiary"
1157970,2022-06-02,6,"songwe","momba","momba.dc","ivuna","ntungwa","mbao","-8.5474375 32.4585168 964.2937461761758 5.0","e3db98d7-eb5b-11ec-9416-9440c9ab47f0",60.5860176086426,53.6131744384766,1623.38989257812,1677.0030670166,"mixed-rainfed-arid",27.88,"other",0.27,"trail"
1157987,2022-06-03,6,"iringa","iringa","iringa.dc","itunundu","kimande","kimande","-7.3660081 35.4864831 986.4152071885765 5.0","e3e73038-eb5b-11ec-9416-9440c9ab47f0",128.083633422852,41.7427177429199,1221.54650878906,1263.28922653198,"livestock-arid",11.62,"other",0.99,"trail"
1158102,2022-06-03,6,"mtwara","masasi","masasi.dc","nanjota","nanjota","nanjota","-10.820619 38.9761502 307.0 4.36","5cf6c793-e449-11ec-9416-9440c9ab47f0",253.183227539062,64.17919921875,4361.5888671875,4425.76806640625,"mixed-rainfed-arid",19.11,"major",6.39,"trail"
1158215,2022-06-02,6,"morogoro","kilombero","kilombero.dc","idete","idandu","kikurukutu","-8.1735732 36.3908104 245.8944091796875 4.288","5cbf6b9f-e449-11ec-9416-9440c9ab47f0",80.3702011108398,354.327545166016,453.419525146484,807.7470703125,"livestock-humid",14,"other",2.19,"trail"
1158308,2022-06-04,6,"mbeya","mbarali","mbarali.dc","rujewa","ihanga","rujewa","-8.7168037 34.3909631 1068.0594060355797 5.0","5c287d35-e449-11ec-9416-9440c9ab47f0",618.459899902344,394.042266845703,1157.78125,1551.8235168457,"mixed-rainfed-arid",2.05,"major",0.82,"trail"
1158461,2022-05-31,6,"katavi","mlele","mpimbwe.dc","kibaoni","kibaoni","kibaoni","-7.1153872 31.1714705 961.2 4.55","870309f5-e512-11ec-9416-9440c9ab47f0",158.571197509766,115.234504699707,1686.32934570312,1801.56385040283,"mixed-rainfed-arid",7.88,"other",0.9,"tertiary"
1158600,2022-06-04,6,"dodoma","bahi","bahi.dc","mundemu","mundemu","mundemu","-5.9299971 35.6778646 1124.8728903331437 4.8","85e28ff6-e512-11ec-9416-9440c9ab47f0",111.252952575684,2189.24536132812,6771.53662109375,8960.78198242188,"mixed-rainfed-arid",18.02,"other",6.4,"trail"
1158924,2022-06-04,6,"mtwara","masasi","masasi.dc","mnavira","nakarara","makong.onda","-11.0164945 39.2319285 241.0 4.833","86625219-e512-11ec-9416-9440c9ab47f0",85.4964981079102,40.2803421020508,4206.91796875,4247.19831085205,"mixed-rainfed-arid",9.29,"major",0.13,"trail"
1159027,2022-06-04,6,"mtwara","masasi","masasi.dc","mchauru","mchauru","mchauru","-11.0281082 39.160235 169.26971435546875 3.9","b14c7fa8-e5db-11ec-9416-9440c9ab47f0",73.1093368530273,42.8856048583984,3866.95092773438,3909.83653259277,"mixed-rainfed-arid",16.09,"major",1.25,"trail"
1159230,2022-06-06,6,"njombe","wanging.ombe","wanging.ombe.dc","wanging.ombe","wanging.ombe","wanging.ombe","-8.8521811 34.6428671 1415.5339352684096 5.0","b1287ee9-e5db-11ec-9416-9440c9ab47f0",122.246856689453,452.701446533203,1206.17077636719,1658.87222290039,"mixed-rainfed-arid",20.85,"major",0.48,"tertiary"
1159272,2022-06-06,6,"mtwara","masasi","masasi.dc","namalenga","nagaga","namalenga","-10.9013394 39.1108574 335.4 4.96","b147523b-e5db-11ec-9416-9440c9ab47f0",387.043762207031,46.6823806762695,5710.55322265625,5757.23560333252,"mixed-rainfed-arid",19.82,"major",0.26,"trail"
1159301,2022-06-06,6,"morogoro","kilombero","kilombero.dc","mofu","miyomboni","mofu","-8.2765794 36.3240707 244.8209228515625 4.744","afcd2e43-e5db-11ec-9416-9440c9ab47f0",132.426681518555,329.195007324219,352.486694335938,681.681701660156,"livestock-humid",10.75,"other",0.47,"trail"
1159341,2022-06-06,6,"mtwara","masasi","masasi.dc","mkundi","majembe","mkundi","-10.7383764 39.1197694 392.0 5.0","b0d48f2e-e5db-11ec-9416-9440c9ab47f0",81.3202743530273,60.8783569335938,6566.26123046875,6627.13958740234,"livestock-arid",18.85,"other",4.44,"trail"
1159822,2022-06-07,6,"mtwara","masasi","masasi.dc","lukuledi","lukuledi","lukuledi","-10.5717977 38.8068269 334.9 5.0","db9a1432-e6a4-11ec-9416-9440c9ab47f0",992.918518066406,37.3517417907715,11242.9140625,11280.2658042908,"mixed-rainfed-arid",2.51,"other",0.05,"trail"
1159943,2022-06-07,6,"morogoro","kilombero","kilombero.dc","kiberege","sagamaganga","sagamaganga","-8.0696476 36.8109116 241.6 4.8","dca89162-e6a4-11ec-9416-9440c9ab47f0",104.366683959961,440.247436523438,742.306213378906,1182.55364990234,"livestock-humid",15.66,"major",0.97,"trail"
1160007,2022-06-07,6,"mtwara","masasi","masasi.dc","chiwale","kivukoni","chiwale","-10.5853929 38.6060378 407.613525390625 4.716","043b802c-e76e-11ec-9416-9440c9ab47f0",339.706237792969,37.5315322875977,4073.51196289062,4111.04349517822,"mixed-rainfed-arid",21.51,"other",10.24,"trail"
1160176,2022-06-07,6,"mbeya","mbarali","mbarali.dc","utengule.usangu","utengule.usangu","utengule.usangu","-8.6721637 33.8662568 1045.617154860869 5.0","04bbee6b-e76e-11ec-9416-9440c9ab47f0",174.197067260742,418.925750732422,964.327880859375,1383.2536315918,"mixed-rainfed-arid",24.39,"other",0.38,"trail"
1160264,2022-06-07,6,"dodoma","bahi","bahi.dc","lamaiti","lamaiti","lamaiti","-5.7821564 35.4809909 972.8034368570598 5.0","0484541d-e76e-11ec-9416-9440c9ab47f0",62.1072082519531,1279.35217285156,2120.2919921875,3399.64416503906,"mixed-rainfed-arid",34.15,"other",0.05,"trail"
1160427,2022-06-08,6,"mtwara","masasi","masasi.dc","nanganga","mwongozo","nangoo","-10.4664104 39.0937505 250.1832275390625 4.824","3173f91a-e837-11ec-9416-9440c9ab47f0",610.243896484375,36.175708770752,4332.5166015625,4368.69231033325,"mixed-rainfed-arid",12.45,"other",0.68,"trail"
1160430,2022-06-08,6,"mtwara","masasi","masasi.dc","mwena","chibwini","mwena","-10.5081024 39.0038158 298.0 4.666","318eadd8-e837-11ec-9416-9440c9ab47f0",772.734191894531,57.034797668457,5485.2490234375,5542.28382110596,"Other",20.81,"other",0.01,"trail"
1160811,2022-06-09,6,"songwe","mbozi","mbozi.dc","iyula","idiwili","idiwili","-9.1347523 33.1536493 1909.0037182345986 5.0","e306fe9b-eb5b-11ec-9416-9440c9ab47f0",392.015350341797,74.4665603637695,5154.5703125,5229.03687286377,"mixed-rainfed-temperate",19.56,"other",7.25,"trail"
1160860,2022-06-08,6,"morogoro","ulanga","malinyi.dc","usangule","kiswago","salamiti","-8.823092 36.2566832 242.0103323809444 4.816","31337a39-e837-11ec-9416-9440c9ab47f0",129.469940185547,294.015625,1299.84924316406,1593.86486816406,"mixed-rainfed-humid",25.98,"other",8.64,"trail"
1160890,2022-06-09,6,"lindi","nachingwea","nachingwea.dc","ndomoni","ndomoni","ndomoni","-10.5375291 38.8116548 310.00372314453125 4.561","30a9f511-e837-11ec-9416-9440c9ab47f0",183.184417724609,37.3517417907715,11242.9140625,11280.2658042908,"mixed-rainfed-arid",1.86,"other",0.21,"trail"
1161603,2022-06-10,6,"mtwara","newala","newala.tc","luchindu","tupendane","tulindane","-10.9243361 39.2698108 700.806884765625 4.451","851e5185-e9c9-11ec-9416-9440c9ab47f0",381.979064941406,129.195388793945,10487.4853515625,10616.6807403564,"mixed-rainfed-arid",3.38,"major",0.09,"trail"
1161608,2022-06-10,6,"mtwara","newala","newala.tc","mtonya","majengo","mtonya","-10.9544701 39.2770396 685.2410888671875 4.873","854c4cbe-e9c9-11ec-9416-9440c9ab47f0",1619.12585449219,129.195388793945,10487.4853515625,10616.6807403564,"mixed-rainfed-arid",0.96,"major",0.27,"trail"
1161612,2022-06-10,6,"mtwara","newala","newala.dc","kitangari","kitangari","kitangari","-10.6501081 39.3333043 454.5841064453125 4.824","838b3f65-e9c9-11ec-9416-9440c9ab47f0",1130.54443359375,112.818656921387,13221.767578125,13334.5862350464,"Other",0.95,"other",0.63,"trail"
1161674,2022-06-10,6,"mtwara","newala","newala.tc","luchindu","luchingu","luchingu","-10.9385478 39.2730208 684.0 4.8","85329ba8-e9c9-11ec-9416-9440c9ab47f0",3320.65869140625,129.195388793945,10487.4853515625,10616.6807403564,"mixed-rainfed-arid",1.9,"major",0.08,"trail"
1161678,2022-06-10,6,"mtwara","newala","newala.tc","mtonya","nangwala","nangwala","-10.9509015 39.2709607 707.0 5.0","85488d87-e9c9-11ec-9416-9440c9ab47f0",2445.54907226562,129.195388793945,10487.4853515625,10616.6807403564,"mixed-rainfed-arid",1.54,"major",0.42,"trail"
1162037,2022-06-11,6,"mtwara","masasi","masasi.dc","mnavira","mnavira","mnavira","-11.0697551 39.2535928 166.233154296875 4.808","b2501897-ea92-11ec-9416-9440c9ab47f0",364.603363037109,43.719310760498,5021.60986328125,5065.32917404175,"mixed-rainfed-arid",13.58,"major",0.3,"trail"
1162039,2022-06-12,6,"ruvuma","tunduru","tunduru.dc","muhuwesi","muhesi","muhesi","-10.8705337 37.4516587 473.052978515625 4.931","afaebb04-ea92-11ec-9416-9440c9ab47f0",324.097320556641,411.612945556641,934.421752929688,1346.03469848633,"mixed-rainfed-arid",1.49,"other",5.98,"trail"
1162085,2022-06-11,6,"mtwara","masasi","masasi.dc","chikolopola","chikolopola","chikolopola","-11.0682449 39.3274016 108.6 4.925","b1c66703-ea92-11ec-9416-9440c9ab47f0",310.380035400391,43.719310760498,5021.60986328125,5065.32917404175,"mixed-rainfed-arid",13.77,"major",0.31,"trail"
1162635,2022-06-12,6,"mbeya","chunya","chunya.dc","mtanila","igangwe","shauri.moyo","-7.8785845 33.1321739 1386.2877886518836 5.0","e2d4398e-eb5b-11ec-9416-9440c9ab47f0",5.86557817459106,58.8987159729004,632.227905273438,691.126621246338,"livestock-arid",21.83,"other",19.79,"tertiary"
1162780,2022-06-10,6,"morogoro","ulanga","malinyi.dc","itete","itete","itete","-8.6886787 36.4044964 311.83984375 4.63","5c0c9372-ebad-11ec-9416-9440c9ab47f0",182.509078979492,243.137313842773,1193.8154296875,1436.95274353027,"mixed-rainfed-humid",3.94,"other",0.06,"trail"
1162957,2022-06-14,6,"mbeya","chunya","chunya.dc","mamba","mamba","shinyanga","-8.127488 33.1441905 1230.6280415151268 5.0","0c184e8d-ec25-11ec-9416-9440c9ab47f0",15.9636650085449,60.7132911682129,617.111206054688,677.8244972229,"livestock-arid",23.43,"other",13.54,"trail"
1167758,2022-05-22,6,"katavi","mlele","mpimbwe.dc","usevya","kitupa","majimoto","-7.1165855 31.2248922 958.4 4.74","32d4f224-f1a5-11ec-80af-9440c9ab47f0",257.923706054688,115.234504699707,1686.32934570312,1801.56385040283,"mixed-rainfed-arid",2.74,"other",1.67,"tertiary"
1167807,2022-06-05,6,"katavi","mpanda","mpanda.dc","sibwesa","sibwesa","sibwesa","-6.4997127 30.7435865 1074.5 3.9","335eb21e-f1a5-11ec-80af-9440c9ab47f0",36.4157791137695,46.0573387145996,328.81005859375,374.86739730835,"livestock-arid",0.71,"other",0.93,"tertiary"
