"place","ward.A","ward.B","ward.A.dist","wdr.A","wdr.B"
"mihale","mihale","mihingo",0.357142857142857,"mihale-bunda.dc-mara","mihingo-bunda.dc-mara"
"mikaganga","itete.njiwa","itete",0.181818181818182,"itete.njiwa-malinyi.dc-morogoro","itete-malinyi.dc-morogoro"
"mikangaga","itete.njiwa","itete",0.181818181818182,"itete.njiwa-malinyi.dc-morogoro","itete-malinyi.dc-morogoro"
"mikumbi","mikumbi","mkoma.ii",0.30952380952381,"mikumbi-newala.dc-mtwara","mkoma.ii-newala.dc-mtwara"
"milimate","milimate","sitalike",0.35,"milimate-nsimbo.dc-katavi","sitalike-nsimbo.dc-katavi"
"milola","milola","ilonga",0.222222222222222,"milola-ulanga.dc-morogoro","ilonga-ulanga.dc-morogoro"
"milunda","milunda","mlingula",0.242063492063492,"milunda-masasi.dc-mtwara","mlingula-masasi.dc-mtwara"
"milundelunde","mumbaka","mnavira",0.380952380952381,"mumbaka-masasi.dc-mtwara","mnavira-masasi.dc-mtwara"
"minawa","misasi","masasi",0.177777777777778,"misasi-misungwi.dc-mwanza","masasi-misungwi.dc-mwanza"
"minazini","itete.njiwa","itete",0.181818181818182,"itete.njiwa-malinyi.dc-morogoro","itete-malinyi.dc-morogoro"
"minazini","minazini","malinyi",0.320238095238095,"minazini-malinyi.dc-morogoro","malinyi-malinyi.dc-morogoro"
"miomboni","mofu","mbuga",0.366666666666667,"mofu-ulanga.dc-morogoro","mbuga-ulanga.dc-morogoro"
"misasi","miaasi","masasi",0.177777777777778,"miaasi-misungwi.dc-mwanza","masasi-misungwi.dc-mwanza"
"misasi","misaai","masasi",0.177777777777778,"misaai-misungwi.dc-mwanza","masasi-misungwi.dc-mwanza"
"misasi","misasi","masasi",0.177777777777778,"misasi-misungwi.dc-mwanza","masasi-misungwi.dc-mwanza"
"misufini.uhuru.park","misufini","mzinga",0.375,"misufini-morogoro.mc-morogoro","mzinga-morogoro.mc-morogoro"
"mitalula","itete.njiwa","itete",0.181818181818182,"itete.njiwa-malinyi.dc-morogoro","itete-malinyi.dc-morogoro"
"mitesa","mitesa","mwena",0.3,"mitesa-masasi.dc-mtwara","mwena-masasi.dc-mtwara"
"mitobo","burabujiga","bunamhala",0.385185185185185,"burabujiga-bariadi.tc-simiyu","bunamhala-bariadi.tc-simiyu"
"mitobo","mdalabujiga","budalabujiga",0.169191919191919,"mdalabujiga-itilima.dc-simiyu","budalabujiga-itilima.dc-simiyu"
"miula","miula","kala",0.366666666666667,"miula-nkasi.dc-rukwa","kala-nkasi.dc-rukwa"
"mkakatika","mpamatwa","mpamantwa",0.0370370370370371,"mpamatwa-bahi.dc-dodoma","mpamantwa-bahi.dc-dodoma"
"mkalenda","mkalenda","mkwedu",0.277777777777778,"mkalenda-newala.dc-mtwara","mkwedu-newala.dc-mtwara"
"mkobwe","msowelo","msowero",0.0952380952380952,"msowelo-kilosa.dc-morogoro","msowero-kilosa.dc-morogoro"
"mkole","mkole","nkomolo",0.323809523809524,"mkole-nkasi.dc-rukwa","nkomolo-nkasi.dc-rukwa"
"mkomange","igawa","kilosa.kwa.mpepo",0.316666666666667,"igawa-malinyi.dc-morogoro","kilosa.kwa.mpepo-malinyi.dc-morogoro"
"mkomba","mkomba","kamsamba",0.347222222222222,"mkomba-momba.dc-songwe","kamsamba-momba.dc-songwe"
"mkombilenga","ilolompya","ilolo.mpya",0.0333333333333334,"ilolompya-iringa.dc-iringa","ilolo.mpya-iringa.dc-iringa"
"mkongeni","dakawa","maskati",0.357142857142857,"dakawa-mvomero.dc-morogoro","maskati-mvomero.dc-morogoro"
"mkudumba","newala","malatu",0.333333333333333,"newala-newala.dc-mtwara","malatu-newala.dc-mtwara"
"mkumbwanye","boliboli","migoli",0.402777777777778,"boliboli-iringa.dc-iringa","migoli-iringa.dc-iringa"
"mkunywa","madibila","madibira",0.0833333333333334,"madibila-mbarali.dc-mbeya","madibira-mbarali.dc-mbeya"
"mkwapa","namatute","namatutwe",0.0370370370370371,"namatute-masasi.dc-mtwara","namatutwe-masasi.dc-mtwara"
"mkwaya","makong.onda","nanganga",0.373484848484849,"makong.onda-masasi.dc-mtwara","nanganga-masasi.dc-mtwara"
"mlamate","itekanka","itenka",0.166666666666667,"itekanka-nsimbo.dc-katavi","itenka-nsimbo.dc-katavi"
"mlonga.na.nyamakuyu","madibila","madibira",0.0833333333333334,"madibila-mbarali.dc-mbeya","madibira-mbarali.dc-mbeya"
"mmbwendi","mkangale","kala",0.291666666666667,"mkangale-nkasi.dc-rukwa","kala-nkasi.dc-rukwa"
"mnadani","misasi","masasi",0.177777777777778,"misasi-misungwi.dc-mwanza","masasi-misungwi.dc-mwanza"
"mnadani.kidinda","kidinda","isanga",0.357142857142857,"kidinda-bariadi.tc-simiyu","isanga-bariadi.tc-simiyu"
"mnara.wa.voda","malambo.a","malambo",0.0740740740740742,"malambo.a-bariadi.tc-simiyu","malambo-bariadi.tc-simiyu"
"mnarani","mnarani","kibaoni",0.380952380952381,"mnarani-ifakara.tc-morogoro","kibaoni-ifakara.tc-morogoro"
"mnazi","kalumbaleza","kalambanzite",0.236531986531986,"kalumbaleza-sumbawanga.dc-rukwa","kalambanzite-sumbawanga.dc-rukwa"
"mnkola","mnkola","chikola",0.253968253968254,"mnkola-bahi.dc-dodoma","chikola-bahi.dc-dodoma"
"moba","kashishi","kasansa",0.30952380952381,"kashishi-mpimbwe.dc-katavi","kasansa-mpimbwe.dc-katavi"
"mpamatwa","mpamatwa","mpamantwa",0.0370370370370371,"mpamatwa-bahi.dc-dodoma","mpamantwa-bahi.dc-dodoma"
"mpanda","mpanda","mpanda.hotel",0.166666666666667,"mpanda-mpanda.mc-katavi","mpanda.hotel-mpanda.mc-katavi"
"mpemba.tunduma","mpemba","mpapa",0.3,"mpemba-momba.dc-songwe","mpapa-momba.dc-songwe"
"mpete","mwadui","mpui",0.25,"mwadui-sumbawanga.dc-rukwa","mpui-sumbawanga.dc-rukwa"
"mpinga","mpinga","mpalanga",0.280555555555556,"mpinga-bahi.dc-dodoma","mpalanga-bahi.dc-dodoma"
"mpolo","utenguleusangu","utengule.usangu",0.0222222222222221,"utenguleusangu-mbarali.dc-mbeya","utengule.usangu-mbarali.dc-mbeya"
"mria","kalumbaleza","kalambanzite",0.236531986531986,"kalumbaleza-sumbawanga.dc-rukwa","kalambanzite-sumbawanga.dc-rukwa"
"msadia","nyambwe","mamba",0.323809523809524,"nyambwe-mpimbwe.dc-katavi","mamba-mpimbwe.dc-katavi"
"msalato","masalato","msalato",0.136904761904762,"masalato-dodoma.cc-dodoma","msalato-dodoma.cc-dodoma"
"msalato","msalato","mpalanga",0.30952380952381,"msalato-bahi.dc-dodoma","mpalanga-bahi.dc-dodoma"
