"dist_suffix","dist_nosuffix","Dist20_N","Dist20_nosuffix","Region20_N","dist_nosuffix.dist","dist_suffix.dist","dist","acceptD0"
"mpanda.mc","mpanda","mpanda.mc","mpanda","katavi",0,0,NA,"accept_D0"
"mpimbwe.dc","mpimbwe","mpimbwe.dc","mpimbwe","katavi",0,0,NA,"accept_D0"
"mpimwe.dc","mpimwe","mpimbwe.dc","mpimbwe","katavi",0.0476190476190477,0.0333333333333334,NA,NA
"mpwapwa.dc","mpwapwa","mpwapwa.dc","mpwapwa","dodoma",0,0,NA,"accept_D0"
"muf.dc","muf","meru.dc","meru","arusha",0.472222222222222,0.150793650793651,NA,NA
"muf.dc","muf","magu.dc","magu","mwanza",0.472222222222222,0.150793650793651,NA,NA
"mufindi.dc","mufindi","mufindi.dc","mufindi","iringa",0,0,NA,"accept_D0"
"musoma.dc","musoma","musoma.dc","musoma","mara",0,0,NA,"accept_D0"
"mvomero.dc","mvomero","mvomero.dc","mvomero","morogoro",0,0,NA,"accept_D0"
"mwanjelwa.dc","mwanjelwa","mwanga.dc","mwanga","kilimanjaro",0.203703703703704,0.148148148148148,NA,NA
"mwanza.machinjioni.dc","mwanza.machinjioni","mwanga.dc","mwanga","kilimanjaro",0.296296296296296,0.296296296296296,NA,NA
"mwanza.machinjioni.dc","mwanza.machinjioni","mtwara.mc","mtwara","mtwara",0.37037037037037,0.296296296296296,NA,NA
"mwanza.machinjioni.dc","mwanza.machinjioni","mpanda.mc","mpanda","katavi",0.37037037037037,0.296296296296296,NA,NA
"nachingwea.dc","nachingwea","nachingwea.dc","nachingwea","lindi",0,0,NA,"accept_D0"
"nachingwea.mpanyani.lukuledi.dc","nachingwea.mpanyani.lukuledi","nachingwea.dc","nachingwea","lindi",0.214285714285714,0.266335814722911,NA,NA
"namanyere.dc","namanyere","meru.dc","meru","arusha",0.546296296296296,0.214285714285714,NA,NA
"namanyere.dc","namanyere","same.dc","same","kilimanjaro",0.305555555555556,0.214285714285714,NA,NA
"nangoo.lindi.dc","nangoo.lindi","nyang.wale.dc","nyang.wale","geita",0.3,0.272934472934473,NA,NA
"nantumbu.dc","nantumbu","nanyumbu.dc","nanyumbu","mtwara",0.0833333333333334,0.0606060606060606,NA,NA
"nanyumba.dc","nanyumba","nanyumbu.dc","nanyumbu","mtwara",0.0833333333333334,0.0606060606060606,NA,NA
