"fid (see mrktc_mrktactivities)","Unique Row ID (see mrktc_mrktactivities)","Unique Row ID (see mrktc_mrktactivities)","7. What is your main reason for buying these small ruminants? (see mrktc_lkpbuy_reason)","Unique Row Identifier (UUID)"
"996124","1","1","5","fd165451-beed-11eb-8cbd-5cb901ddeae0"
"996126","1","1","-66","fe3ca80a-beed-11eb-8cbd-5cb901ddeae0"
"996127","1","1","1","fc7af0de-beed-11eb-8cbd-5cb901ddeae0"
"996127","1","1","3","fc7b0b43-beed-11eb-8cbd-5cb901ddeae0"
"996128","1","1","6","fc4d4f55-beed-11eb-8cbd-5cb901ddeae0"
"996129","1","1","-66","fcb30ae4-beed-11eb-8cbd-5cb901ddeae0"
"996130","1","1","8","fb6ed899-beed-11eb-8cbd-5cb901ddeae0"
"996132","1","1","5","f9562c1e-beed-11eb-8cbd-5cb901ddeae0"
"996301","1","1","1","fb5cc548-beed-11eb-8cbd-5cb901ddeae0"
"996301","1","1","5","fb5cb40f-beed-11eb-8cbd-5cb901ddeae0"
"996303","1","1","-66","f9bb174c-beed-11eb-8cbd-5cb901ddeae0"
"996304","1","1","5","fe688c54-beed-11eb-8cbd-5cb901ddeae0"
"996306","1","1","-66","f96b24a7-beed-11eb-8cbd-5cb901ddeae0"
"996307","1","1","-66","fc3eebcd-beed-11eb-8cbd-5cb901ddeae0"
"996308","1","1","1","fea6dee1-beed-11eb-8cbd-5cb901ddeae0"
"996309","1","1","3","f9f101f7-beed-11eb-8cbd-5cb901ddeae0"
"996309","1","1","5","f9f0f482-beed-11eb-8cbd-5cb901ddeae0"
"998356","1","1","1","fe22d8c2-beed-11eb-8cbd-5cb901ddeae0"
"998358","1","1","5","f98d41c1-beed-11eb-8cbd-5cb901ddeae0"
"998365","1","1","4","fce48ece-beed-11eb-8cbd-5cb901ddeae0"
"998418","1","1","1","fee1d32b-beed-11eb-8cbd-5cb901ddeae0"
"998418","1","1","3","fee1bf60-beed-11eb-8cbd-5cb901ddeae0"
"998420","1","1","-66","fb3f7f3c-beed-11eb-8cbd-5cb901ddeae0"
"998421","1","1","1","f93b9901-beed-11eb-8cbd-5cb901ddeae0"
"998421","1","1","2","f93ba79f-beed-11eb-8cbd-5cb901ddeae0"
"998423","1","1","-66","f89568bc-beed-11eb-8cbd-5cb901ddeae0"
"998423","1","1","1","f8955a11-beed-11eb-8cbd-5cb901ddeae0"
"998678","1","1","1","fa043ebb-beed-11eb-8cbd-5cb901ddeae0"
"998678","1","1","3","fa0420bb-beed-11eb-8cbd-5cb901ddeae0"
"998678","1","1","5","fa04305a-beed-11eb-8cbd-5cb901ddeae0"
"998679","1","1","1","f8d0bcf9-beed-11eb-8cbd-5cb901ddeae0"
"998679","1","1","3","f8d0cddc-beed-11eb-8cbd-5cb901ddeae0"
"998680","1","1","5","f846e007-beed-11eb-8cbd-5cb901ddeae0"
"998683","1","1","1","fafc9d72-beed-11eb-8cbd-5cb901ddeae0"
"998683","1","1","2","fafcc399-beed-11eb-8cbd-5cb901ddeae0"
"998683","1","1","3","fafcb210-beed-11eb-8cbd-5cb901ddeae0"
"998685","1","1","-66","fcab79f2-beed-11eb-8cbd-5cb901ddeae0"
"998685","1","1","1","fcab6940-beed-11eb-8cbd-5cb901ddeae0"
"998719","1","1","3","f7f811b5-beed-11eb-8cbd-5cb901ddeae0"
"998719","1","1","4","f7f81fac-beed-11eb-8cbd-5cb901ddeae0"
"998720","1","1","1","fa331768-beed-11eb-8cbd-5cb901ddeae0"
"998720","1","1","4","fa33051d-beed-11eb-8cbd-5cb901ddeae0"
"998721","1","1","4","f932dca4-beed-11eb-8cbd-5cb901ddeae0"
"998721","1","1","5","f932f4ac-beed-11eb-8cbd-5cb901ddeae0"
"998722","1","1","4","faa97f71-beed-11eb-8cbd-5cb901ddeae0"
"998722","1","1","5","faa99286-beed-11eb-8cbd-5cb901ddeae0"
"998722","1","1","7","faa9a6b5-beed-11eb-8cbd-5cb901ddeae0"
"998724","1","1","4","fb155fd5-beed-11eb-8cbd-5cb901ddeae0"
"998724","1","1","5","fb15700c-beed-11eb-8cbd-5cb901ddeae0"
"998908","1","1","1","f7cf346e-beed-11eb-8cbd-5cb901ddeae0"
"998909","1","1","1","f9a27f25-beed-11eb-8cbd-5cb901ddeae0"
"998910","1","1","-66","f8e134b7-beed-11eb-8cbd-5cb901ddeae0"
"998911","1","1","1","fd241ae9-beed-11eb-8cbd-5cb901ddeae0"
"998911","1","1","2","fd244f0b-beed-11eb-8cbd-5cb901ddeae0"
