"fid (see mrktc_mrktactivities)","Unique Row ID (see mrktc_mrktactivities)","Unique Row ID (see mrktc_mrktactivities)","3. What is your main reason for selling these sheep and/ or goats? (see mrktc_lkpsell_reason)","Unique Row Identifier (UUID)"
"977418","1","1","3","f9765c02-beed-11eb-8cbd-5cb901ddeae0"
"977418","1","1","4","f9766b29-beed-11eb-8cbd-5cb901ddeae0"
"977418","1","1","5","f9767b5d-beed-11eb-8cbd-5cb901ddeae0"
"977418","1","1","6","f9768974-beed-11eb-8cbd-5cb901ddeae0"
"977419","1","1","1","f7ff9cfd-beed-11eb-8cbd-5cb901ddeae0"
"977419","1","1","2","f7ffaa33-beed-11eb-8cbd-5cb901ddeae0"
"977419","1","1","3","f7ffb8cd-beed-11eb-8cbd-5cb901ddeae0"
"977419","1","1","4","f7ffc863-beed-11eb-8cbd-5cb901ddeae0"
"977419","1","1","5","f7ffd812-beed-11eb-8cbd-5cb901ddeae0"
"977419","1","1","6","f7ffec56-beed-11eb-8cbd-5cb901ddeae0"
"977420","1","1","1","fb67c538-beed-11eb-8cbd-5cb901ddeae0"
"977421","1","1","1","fae1e150-beed-11eb-8cbd-5cb901ddeae0"
"977649","1","1","2","fd47a5f1-beed-11eb-8cbd-5cb901ddeae0"
"977650","1","1","2","fd804e23-beed-11eb-8cbd-5cb901ddeae0"
"977651","1","1","2","fc602487-beed-11eb-8cbd-5cb901ddeae0"
"977651","1","1","3","fc60380d-beed-11eb-8cbd-5cb901ddeae0"
"977651","1","1","4","fc60490b-beed-11eb-8cbd-5cb901ddeae0"
"977652","1","1","2","fd954514-beed-11eb-8cbd-5cb901ddeae0"
"977652","1","1","3","fd952ae3-beed-11eb-8cbd-5cb901ddeae0"
"977652","1","1","4","fd955c8d-beed-11eb-8cbd-5cb901ddeae0"
"977652","1","1","7","fd957114-beed-11eb-8cbd-5cb901ddeae0"
"977653","1","1","2","fd532eb4-beed-11eb-8cbd-5cb901ddeae0"
"977653","1","1","3","fd530b7b-beed-11eb-8cbd-5cb901ddeae0"
"977653","1","1","4","fd531e26-beed-11eb-8cbd-5cb901ddeae0"
"977657","1","1","2","f8be53b7-beed-11eb-8cbd-5cb901ddeae0"
"977657","1","1","3","f8be61b6-beed-11eb-8cbd-5cb901ddeae0"
"977657","1","1","4","f8be71f6-beed-11eb-8cbd-5cb901ddeae0"
"977657","1","1","6","f8be7ecc-beed-11eb-8cbd-5cb901ddeae0"
"977658","1","1","2","fb79f1fb-beed-11eb-8cbd-5cb901ddeae0"
"977658","1","1","3","fb7a2889-beed-11eb-8cbd-5cb901ddeae0"
"977658","1","1","7","fb7a02e1-beed-11eb-8cbd-5cb901ddeae0"
"977659","1","1","2","f90d0bbe-beed-11eb-8cbd-5cb901ddeae0"
"977659","1","1","3","f90ce3b8-beed-11eb-8cbd-5cb901ddeae0"
"977659","1","1","4","f90cf582-beed-11eb-8cbd-5cb901ddeae0"
"977659","1","1","7","f90d1fcc-beed-11eb-8cbd-5cb901ddeae0"
"977660","1","1","2","f887f0a5-beed-11eb-8cbd-5cb901ddeae0"
"977660","1","1","3","f8880319-beed-11eb-8cbd-5cb901ddeae0"
"977660","1","1","4","f8881154-beed-11eb-8cbd-5cb901ddeae0"
"977661","1","1","2","fd4f310a-beed-11eb-8cbd-5cb901ddeae0"
"977661","1","1","3","fd4f4242-beed-11eb-8cbd-5cb901ddeae0"
"977661","1","1","4","fd4f526e-beed-11eb-8cbd-5cb901ddeae0"
"977663","1","1","2","fe14e7d7-beed-11eb-8cbd-5cb901ddeae0"
"977663","1","1","3","fe150032-beed-11eb-8cbd-5cb901ddeae0"
"977663","1","1","4","fe151425-beed-11eb-8cbd-5cb901ddeae0"
"977663","1","1","5","fe152896-beed-11eb-8cbd-5cb901ddeae0"
"977663","1","1","6","fe153acf-beed-11eb-8cbd-5cb901ddeae0"
"977664","1","1","2","f9ce15f6-beed-11eb-8cbd-5cb901ddeae0"
"977664","1","1","3","f9ce260d-beed-11eb-8cbd-5cb901ddeae0"
"977664","1","1","4","f9ce691c-beed-11eb-8cbd-5cb901ddeae0"
"977664","1","1","5","f9ce3764-beed-11eb-8cbd-5cb901ddeae0"
"977664","1","1","6","f9ce4a2d-beed-11eb-8cbd-5cb901ddeae0"
"977664","1","1","7","f9ce5a07-beed-11eb-8cbd-5cb901ddeae0"
"977665","1","1","2","f901846a-beed-11eb-8cbd-5cb901ddeae0"
"977665","1","1","3","f9019484-beed-11eb-8cbd-5cb901ddeae0"
"977665","1","1","4","f901a381-beed-11eb-8cbd-5cb901ddeae0"
"977665","1","1","6","f901c3d7-beed-11eb-8cbd-5cb901ddeae0"
"977665","1","1","7","f901b4c0-beed-11eb-8cbd-5cb901ddeae0"
"977666","1","1","2","fbf3d072-beed-11eb-8cbd-5cb901ddeae0"
"977666","1","1","3","fbf3e152-beed-11eb-8cbd-5cb901ddeae0"
"977666","1","1","4","fbf3f1d4-beed-11eb-8cbd-5cb901ddeae0"
"977667","1","1","2","f7e3f9a8-beed-11eb-8cbd-5cb901ddeae0"
"977667","1","1","7","f7e406e1-beed-11eb-8cbd-5cb901ddeae0"
"977669","1","1","2","fcc8379f-beed-11eb-8cbd-5cb901ddeae0"
"977669","1","1","3","fcc84fa3-beed-11eb-8cbd-5cb901ddeae0"
"977669","1","1","4","fcc864da-beed-11eb-8cbd-5cb901ddeae0"
"977669","1","1","5","fcc88c9b-beed-11eb-8cbd-5cb901ddeae0"
"977669","1","1","6","fcc87aa0-beed-11eb-8cbd-5cb901ddeae0"
"977669","1","1","7","fcc8a406-beed-11eb-8cbd-5cb901ddeae0"
"977670","1","1","2","fbbf94f0-beed-11eb-8cbd-5cb901ddeae0"
"977670","1","1","3","fbbfbfa3-beed-11eb-8cbd-5cb901ddeae0"
"977670","1","1","4","fbbfaf07-beed-11eb-8cbd-5cb901ddeae0"
"977671","1","1","2","fa6b4bdb-beed-11eb-8cbd-5cb901ddeae0"
"977671","1","1","3","fa6b2974-beed-11eb-8cbd-5cb901ddeae0"
"977671","1","1","4","fa6b3b62-beed-11eb-8cbd-5cb901ddeae0"
"977672","1","1","2","fa17681c-beed-11eb-8cbd-5cb901ddeae0"
"977672","1","1","3","fa177a9c-beed-11eb-8cbd-5cb901ddeae0"
"977672","1","1","4","fa1788f1-beed-11eb-8cbd-5cb901ddeae0"
"977673","1","1","2","f9af56d5-beed-11eb-8cbd-5cb901ddeae0"
"977673","1","1","3","f9af68a9-beed-11eb-8cbd-5cb901ddeae0"
"977673","1","1","4","f9af79f4-beed-11eb-8cbd-5cb901ddeae0"
"977673","1","1","6","f9af89ca-beed-11eb-8cbd-5cb901ddeae0"
"977681","1","1","2","f86e50ee-beed-11eb-8cbd-5cb901ddeae0"
"977681","1","1","3","f86e6ff1-beed-11eb-8cbd-5cb901ddeae0"
"977681","1","1","7","f86e613c-beed-11eb-8cbd-5cb901ddeae0"
"977682","1","1","1","f8069651-beed-11eb-8cbd-5cb901ddeae0"
"977682","1","1","2","f806872e-beed-11eb-8cbd-5cb901ddeae0"
"977682","1","1","3","f806a2ad-beed-11eb-8cbd-5cb901ddeae0"
"977687","1","1","1","fc8980c3-beed-11eb-8cbd-5cb901ddeae0"
"977687","1","1","2","fc896ec7-beed-11eb-8cbd-5cb901ddeae0"
"977688","1","1","1","fbd22e60-beed-11eb-8cbd-5cb901ddeae0"
"977688","1","1","2","fbd203dd-beed-11eb-8cbd-5cb901ddeae0"
"977688","1","1","3","fbd21af1-beed-11eb-8cbd-5cb901ddeae0"
"977690","1","1","1","f7dc328e-beed-11eb-8cbd-5cb901ddeae0"
"977690","1","1","2","f7dc3eaf-beed-11eb-8cbd-5cb901ddeae0"
"977690","1","1","3","f7dc4a7e-beed-11eb-8cbd-5cb901ddeae0"
"977691","1","1","1","fb3b5afa-beed-11eb-8cbd-5cb901ddeae0"
"977691","1","1","2","fb3b6d35-beed-11eb-8cbd-5cb901ddeae0"
"977691","1","1","3","fb3b7efb-beed-11eb-8cbd-5cb901ddeae0"
"977693","1","1","1","fd916345-beed-11eb-8cbd-5cb901ddeae0"
"977693","1","1","2","fd913ab6-beed-11eb-8cbd-5cb901ddeae0"
"977693","1","1","3","fd914f55-beed-11eb-8cbd-5cb901ddeae0"
"977695","1","1","1","fcbc57d6-beed-11eb-8cbd-5cb901ddeae0"
"977697","1","1","1","fe9a2f89-beed-11eb-8cbd-5cb901ddeae0"
"977698","1","1","1","fb341264-beed-11eb-8cbd-5cb901ddeae0"
"977698","1","1","2","fb3424bd-beed-11eb-8cbd-5cb901ddeae0"
"977698","1","1","3","fb34360c-beed-11eb-8cbd-5cb901ddeae0"
"977699","1","1","1","fc306581-beed-11eb-8cbd-5cb901ddeae0"
"977699","1","1","2","fc30540a-beed-11eb-8cbd-5cb901ddeae0"
"977699","1","1","3","fc307588-beed-11eb-8cbd-5cb901ddeae0"
"977700","1","1","1","fbe196e0-beed-11eb-8cbd-5cb901ddeae0"
"977700","1","1","2","fbe1a826-beed-11eb-8cbd-5cb901ddeae0"
"977700","1","1","7","fbe1b70e-beed-11eb-8cbd-5cb901ddeae0"
"977703","1","1","1","f96446d8-beed-11eb-8cbd-5cb901ddeae0"
"977704","1","1","1","fdb45bb1-beed-11eb-8cbd-5cb901ddeae0"
"977706","1","1","1","fb079dc4-beed-11eb-8cbd-5cb901ddeae0"
"977707","1","1","1","fc237ec9-beed-11eb-8cbd-5cb901ddeae0"
"977708","1","1","1","fc9d3992-beed-11eb-8cbd-5cb901ddeae0"
"977975","1","1","2","f9823df1-beed-11eb-8cbd-5cb901ddeae0"
"977976","1","1","2","f95a0362-beed-11eb-8cbd-5cb901ddeae0"
"977978","1","1","1","fd5ac661-beed-11eb-8cbd-5cb901ddeae0"
"977978","1","1","2","fd5ab39d-beed-11eb-8cbd-5cb901ddeae0"
"977979","1","1","2","fe5d24af-beed-11eb-8cbd-5cb901ddeae0"
"977984","1","1","1","fe2d64ee-beed-11eb-8cbd-5cb901ddeae0"
"977985","1","1","2","f989cb01-beed-11eb-8cbd-5cb901ddeae0"
"977987","1","1","2","fba97ea5-beed-11eb-8cbd-5cb901ddeae0"
"977988","1","1","1","fa45ff18-beed-11eb-8cbd-5cb901ddeae0"
"977988","1","1","2","fa45e9d3-beed-11eb-8cbd-5cb901ddeae0"
"977989","1","1","2","fef69238-beed-11eb-8cbd-5cb901ddeae0"
"977990","1","1","1","fa490d87-beed-11eb-8cbd-5cb901ddeae0"
"977990","1","1","2","fa48f578-beed-11eb-8cbd-5cb901ddeae0"
"977991","1","1","2","fcfa58be-beed-11eb-8cbd-5cb901ddeae0"
"977996","1","1","2","f83d733f-beed-11eb-8cbd-5cb901ddeae0"
"977997","1","1","2","fb2a50e9-beed-11eb-8cbd-5cb901ddeae0"
"977998","1","1","1","fa28b34a-beed-11eb-8cbd-5cb901ddeae0"
"977998","1","1","2","fa28a03e-beed-11eb-8cbd-5cb901ddeae0"
"977999","1","1","2","fb905419-beed-11eb-8cbd-5cb901ddeae0"
"978000","1","1","2","fe194aac-beed-11eb-8cbd-5cb901ddeae0"
"980518","1","1","1","fd1fbeb6-beed-11eb-8cbd-5cb901ddeae0"
"980523","1","1","1","fec44184-beed-11eb-8cbd-5cb901ddeae0"
"980528","1","1","1","f9f4f2b6-beed-11eb-8cbd-5cb901ddeae0"
"980530","1","1","1","f83a0785-beed-11eb-8cbd-5cb901ddeae0"
"980534","1","1","1","fa363d7d-beed-11eb-8cbd-5cb901ddeae0"
"980536","1","1","1","fadf2d40-beed-11eb-8cbd-5cb901ddeae0"
"980538","1","1","1","fa0def86-beed-11eb-8cbd-5cb901ddeae0"
"980540","1","1","2","facd0680-beed-11eb-8cbd-5cb901ddeae0"
"980549","1","1","4","fc42f82f-beed-11eb-8cbd-5cb901ddeae0"
"980550","1","1","2","fdbcf86c-beed-11eb-8cbd-5cb901ddeae0"
"980551","1","1","-66","fdcb6a3f-beed-11eb-8cbd-5cb901ddeae0"
"985951","1","1","1","feda0106-beed-11eb-8cbd-5cb901ddeae0"
