"fid (see mrktc_mrktactivities)","Unique Row ID (see mrktc_mrktactivities)","Unique Row ID (see mrktc_mrktactivities)","10. What other species of animals do you buy apart from sheep and goats? (see mrktc_lkpothrspecies)","Unique Row Identifier (UUID)"
"1000438","1","1","-66","fa60bf9a-beed-11eb-8cbd-5cb901ddeae0"
"1000512","1","1","1","f8f18218-beed-11eb-8cbd-5cb901ddeae0"
"1000514","1","1","-66","f9685cbc-beed-11eb-8cbd-5cb901ddeae0"
"1000515","1","1","-66","f824d90b-beed-11eb-8cbd-5cb901ddeae0"
"1000516","1","1","-66","f9c82eb2-beed-11eb-8cbd-5cb901ddeae0"
"1000517","1","1","-66","fc64093a-beed-11eb-8cbd-5cb901ddeae0"
"1000518","1","1","-66","fc1bdb24-beed-11eb-8cbd-5cb901ddeae0"
"1000519","1","1","-66","fb641d09-beed-11eb-8cbd-5cb901ddeae0"
"1000520","1","1","-66","f97acfcf-beed-11eb-8cbd-5cb901ddeae0"
"1000522","1","1","-66","fecead91-beed-11eb-8cbd-5cb901ddeae0"
"1000523","1","1","-66","fb7ec17f-beed-11eb-8cbd-5cb901ddeae0"
"1000524","1","1","-66","f9ded872-beed-11eb-8cbd-5cb901ddeae0"
"1000525","1","1","-66","fad486ff-beed-11eb-8cbd-5cb901ddeae0"
"1000527","1","1","1","fab90094-beed-11eb-8cbd-5cb901ddeae0"
"1000528","1","1","-66","fa648d76-beed-11eb-8cbd-5cb901ddeae0"
"1000529","1","1","1","fa3a7f1e-beed-11eb-8cbd-5cb901ddeae0"
"1000530","1","1","-66","f944114a-beed-11eb-8cbd-5cb901ddeae0"
"1000531","1","1","1","fd301df5-beed-11eb-8cbd-5cb901ddeae0"
"1000533","1","1","1","f9ea1f94-beed-11eb-8cbd-5cb901ddeae0"
"1000534","1","1","-66","fe6cd71d-beed-11eb-8cbd-5cb901ddeae0"
"1000535","1","1","-66","fc77d069-beed-11eb-8cbd-5cb901ddeae0"
"1000536","1","1","-66","fae6401b-beed-11eb-8cbd-5cb901ddeae0"
"1000538","1","1","-66","fdfc5145-beed-11eb-8cbd-5cb901ddeae0"
"1000540","1","1","-66","fbf12aae-beed-11eb-8cbd-5cb901ddeae0"
"1000544","1","1","1","fccd1e86-beed-11eb-8cbd-5cb901ddeae0"
