"fid (see mrktc_generalinfo)","Unique Row ID (see mrktc_generalinfo)","Unique Row ID","1. What are the activities that you are doing in this market today?","If other, specify","Type of place (see mrktc_lkpsell_placetype)","If other specify","Name of place","Ward","District","3. What is your main reason for selling these sheep and/ or goats?","If other, specify","4. How were sheep/ goats transported to the market? (see mrktc_lkpsell_trans)","If other, specify","5. Do you also sell other animal species apart from sheep and goats?","If yes, out of all the species that you sell, which species do you sell the most?","If other, specify","Will you transport the sheep/ goats you are buying today?","Type of place (see mrktc_lkpplacetype)","If other, specify","Name of place","Ward","District","7. What is your main reason for buying these small ruminants?","If other, specify","8. How will you transport these small ruminants that you are buying (see mrktc_lkpsell_trans)","If other, specify","9. What criteria do you use to decide which small ruminants to buy?","If other, specify","10. What other species of animals do you buy apart from sheep and goats?","If other, specify","11. If the prices of sheep and goats increase for some reason e.g. a shortage of animals due to disease, will you still buy them?","If no, which other species will you consider instead?","If other, specify","If yes, how much of an increase in the current price of sheep and goat (unit price of live animal) will cause you to change your purchasing behaviour to another animal species","12. How many times in a month do you buy or sell sheep and /or goats in this market?","Unique Row Identifier (UUID)"
"976803","1","1","4","","","","","","","","","","","","","","1","2","","SEGOU","CITE COMATEX","SEGOU","1 5","","2","","1 2 8 6","","1","","1","","","25000","4","f8ab02b8-beed-11eb-8cbd-5cb901ddeae0"
"976804","1","1","4","","","","","","","","","","","","","","1","3","","SEGOU","CITE COMATEX","SEGOU","1","","2","","2 6 -66","","-66","Il n`achète pas d`autres","1","","","15000","4","f9edc1c5-beed-11eb-8cbd-5cb901ddeae0"
"976805","1","1","4","","","","","","","","","","","","","","1","1","","Katiena","Katiena","Ségou","1","","2","","2 1 6","","-66","Il n`achète pas d`autres","1","","","15000","4","f8e451d3-beed-11eb-8cbd-5cb901ddeae0"
"977114","1","1","3","","3","","KAMBIA","KAMBIA","SÉGOU","1 3","","2","","0","","","1","3","","DOUGOUWOLO","DOUGOUWOLO","SÉGOU","1","","2","","1 2 3","","-66","JE NE FAIS PAS LE COMMERCE D`AUTRES ANIMAUX","1","","","10000","4","feeec151-beed-11eb-8cbd-5cb901ddeae0"
"977115","1","1","3","","3","","DOZOGOUGOU","DOZOBOUGOU","SÉGOU","1 3","","2","","0","","","1","2","","SÉGOU","CITÉ COMATEX","SÉGOU","1","","2","","1 2 3","","-66","LE COMMERCE DEPETITS RUMINANTS UNIQUEMENT ","1","","","15000","4","fd7cb7ea-beed-11eb-8cbd-5cb901ddeae0"
"977116","1","1","3","","3",""," - SÉGOU","CITÉ COMATEX","SÉGOU","1 4 3","","2","","1","1","","1","1","","KODOGOLA","KODOKOLA","SÉGOU","1","","2","","1 2 3","","1","","1","","","15000","4","fcc08e1f-beed-11eb-8cbd-5cb901ddeae0"
"977117","1","1","3","","3","","KODOKOLA","KODOKOLA","SÉGOU","1 2 4 5 3 7","","2","","0","","","1","3","","CINZANA CARE","CINZANA CARE","SÉGOU","1","","2","","1 2 3","","1","","1","","","15000","4","faf4836f-beed-11eb-8cbd-5cb901ddeae0"
"977118","1","1","3","","2","","SÉGOU","CITÉ COMATEX","SÉGOU","1","","2","","0","","","1","2","","SÉGOU","CITÉ COMATEX","SÉGOU","1","","2","","1 2 3","","-66","PP SEUL","1","","","10000","4","f8439945-beed-11eb-8cbd-5cb901ddeae0"
"977127","1","1","1","","1","","BAFOBOUGOU","BAFOBOUGOU","SÉGOU","1","","-66","Moto","0","","","","","","","","","","","","","","","","","","","","","","f97e8007-beed-11eb-8cbd-5cb901ddeae0"
"977128","1","1","1","","1","","Ségou","Cité comatex","Ségou","1 2","","3","","0","","","","","","","","","","","","","","","","","","","","","","fcaf275f-beed-11eb-8cbd-5cb901ddeae0"
"977129","1","1","3","","2","","Ségou","Cité comatex","Ségou","1","","2","","0","","","1","2","","Ségou","Cité comatex","Ségou","1","","2","","1 2 3 4","","-66","Seulement les petits ruminants","1","","","20000","4","f8135d0b-beed-11eb-8cbd-5cb901ddeae0"
"977130","1","1","1","","1","","M`penso","M`penso","Sikasso","1","","2","","0","","","","","","","","","","","","","","","","","","","","","","fa90cc50-beed-11eb-8cbd-5cb901ddeae0"
"977131","1","1","1","","1","","Tona","Tona","Ségou","1","","2","","0","","","","","","","","","","","","","","","","","","","","","","fd610e81-beed-11eb-8cbd-5cb901ddeae0"
"977202","1","1","1","","3","","CINZANA GARE","CINZANA GARE","SEGOU","1","","-66","J`ai amené les animaux à moto","0","","","","","","","","","","","","","","","","","","","","","","fadb5a1e-beed-11eb-8cbd-5cb901ddeae0"
"977203","1","1","1","","2","","SEGOU","Cité COMATEX","SEGOU","1","","2","","0","","","","","","","","","","","","","","","","","","","","","","fa1abbda-beed-11eb-8cbd-5cb901ddeae0"
"977204","1","1","3","","3","","BOUSSIN","BOUSSIN","SEGOU","1","","-66","J`amène mes animaux à moto.","0","","","1","1","","Diabougou (commune de CINZANA GARE)","Diabougou","SEGOU","1","","-66","Je transporte mes animaux à moto.","2 8","","4","","1","","","45000","5","fda4d32d-beed-11eb-8cbd-5cb901ddeae0"
"977205","1","1","2","","3","","BOUSSIN","BOUSSIN","SEGOU","2","","3","","0","","","1","1","","CINZANA GARE","CINZANA GARE","SEGOU","1","","3","","2 1","","","","1","","","60000","4","f833fd84-beed-11eb-8cbd-5cb901ddeae0"
"977206","1","1","2","","1","","DOUGABOUGOU","DOUGABOUGOU","SEGOU","1","","2","","1","1","","1","1","","DOUGABOUGOU","DOUGABOUGOU","SEGOU","1","","2","","3 1","","1","","1","","","80000","5","fdcf396c-beed-11eb-8cbd-5cb901ddeae0"
"977397","1","1","3","","1","","DALLE","","","1 2 4 6","","2","","1","1 4","","1","1","","LOLONI","","","1 4","","2","","3","","1 4","","1","","","45000","4","fec737e4-beed-11eb-8cbd-5cb901ddeae0"
"977398","1","1","3","","1","","DALLE","","","4 2 1","","2","","1","1","","1","1","","DALLE","","","1","","2","","3","","1","","1","","","30000","2","fc08288f-beed-11eb-8cbd-5cb901ddeae0"
