"fid (see mrktc_generalinfo)","Unique Row ID (see mrktc_generalinfo)","Unique Row ID","1. What are the activities that you are doing in this market today?","If other, specify","Type of place (see mrktc_lkpsell_placetype)","If other specify","Name of place","Ward","District","3. What is your main reason for selling these sheep and/ or goats?","If other, specify","4. How were sheep/ goats transported to the market? (see mrktc_lkpsell_trans)","If other, specify","5. Do you also sell other animal species apart from sheep and goats?","If yes, out of all the species that you sell, which species do you sell the most?","If other, specify","Will you transport the sheep/ goats you are buying today?","Type of place (see mrktc_lkpplacetype)","If other, specify","Name of place","Ward","District","7. What is your main reason for buying these small ruminants?","If other, specify","8. How will you transport these small ruminants that you are buying (see mrktc_lkpsell_trans)","If other, specify","9. What criteria do you use to decide which small ruminants to buy?","If other, specify","10. What other species of animals do you buy apart from sheep and goats?","If other, specify","11. If the prices of sheep and goats increase for some reason e.g. a shortage of animals due to disease, will you still buy them?","If no, which other species will you consider instead?","If other, specify","If yes, how much of an increase in the current price of sheep and goat (unit price of live animal) will cause you to change your purchasing behaviour to another animal species","12. How many times in a month do you buy or sell sheep and /or goats in this market?","Unique Row Identifier (UUID)"
"977399","1","1","3","","1","","Nimougou","","","2 4","","2","","1","1","","1","1","","DALLE","","","1","","2","","1 2 3 4 5 6 7 8","","1","","1","","","50000","4","fdb88554-beed-11eb-8cbd-5cb901ddeae0"
"977400","1","1","3","","1","","DALLE","","","4 2 1 3","","2","","0","","","1","1","","DALLE","","","1","","2","","2 3","","","","1","","","30000","4","f8d9c1bf-beed-11eb-8cbd-5cb901ddeae0"
"977401","1","1","1 3","","1","","DALLE","","","4 2 3 1","","2","","1","1","","1","1","","LOLONI","","","1","","2","","1 2 3 4 5 6 7 8","","1","","1","","","40000","4","f875023d-beed-11eb-8cbd-5cb901ddeae0"
"977403","1","1","3","","1","","TIOBOUGOU","","","1 4","","2","","1","1","","1","1","","WARASSO","","","1","","2","","3 2","","1","","1","","","40000","4","fd006b78-beed-11eb-8cbd-5cb901ddeae0"
"977404","1","1","2 3","","1","","TIOBOUGOU","","","1 2 4 7 3","","2","","1","1","","1","1","","TIOBOUGOU","","","1","","2","","2","","1","","1","","","200000","4","fdc3f8aa-beed-11eb-8cbd-5cb901ddeae0"
"977405","1","1","3","","1","","TOMBOLA","","","1 2 4 6","","2","","1","1","","1","1","","TOMBOLA","","","1","","2","","2 3","","1","","1","","","50000","4","ff14f30f-beed-11eb-8cbd-5cb901ddeae0"
"977406","1","1","1 3","","1","","TIOBOUGOU","","","1","","2","","1","1","","1","1","","TIOBOUGOU","","","1 7","","2","","1 2 3 4 5 6 7 8","","1","","1","","","50000","4","fbb402e5-beed-11eb-8cbd-5cb901ddeae0"
"977407","1","1","3","","1","","DOMAGUÈRÈBOUGOU","","","6 4 1","","2","","0","","","1","1","","FINKOLO ZANSO","","","1 4","","2","","2 3","","1","","1","","","100000","3","f8c1e964-beed-11eb-8cbd-5cb901ddeae0"
"977411","1","1","3","","1","","NIÈNA","","","2 4 6 5 7 3 1","","2","","0","","","1","1","","NIÉNA","","","1","","2","","1 3","","","","1","","","50000","4","fa9b50d7-beed-11eb-8cbd-5cb901ddeae0"
"977412","1","1","3","","1","","NIÈNA","","","2 3 4 5 6 7 1","","2","","1","1","","1","1","","NIÉNA","","","1","","2","","1 2 3 4 5 6 7 8","","1","","1","","","90000","4","f8696f6d-beed-11eb-8cbd-5cb901ddeae0"
"977413","1","1","3","","1","","NIÈNA","","","2 1 3 4 5 6 7","","2","","1","1","","1","1","","NIÉNA","","","1","","2","","2 3 1","","1","","1","","","100000","4","f89c4852-beed-11eb-8cbd-5cb901ddeae0"
"977414","1","1","3","","1","","NIÈNA","","","2 1 3 4","","2","","0","","","1","1","","NIÈNA","","","1","","2","","1 2 3 5 4 6 7 8","","1","","1","","","85000","4","fdf4a6da-beed-11eb-8cbd-5cb901ddeae0"
"977415","1","1","3","","1","","NIÈNA","","","2","","2","","0","","","1","1","","NIÉNA","","","1","","2","","2 1 3 4 5 6 7 8","","","","1","","","75000","4","ff0f0528-beed-11eb-8cbd-5cb901ddeae0"
"977417","1","1","3","","1","","MÉDINE","","","4 3 2 1 6","","2","","0","","","1","1","","MÉDINE","","","1","","2","","2 3 1 7","","","","1","","","100000","4","fbf77ad3-beed-11eb-8cbd-5cb901ddeae0"
"977418","1","1","3","","1","","MÉDINE","","","2 1 3 4 5 6","","2","","1","1","","1","1","","KOUORO BARRAGE","","","1","","2","","3 2","","1","","1","","","75000","4","f97611f3-beed-11eb-8cbd-5cb901ddeae0"
"977419","1","1","3","","1","","MÉDINE","","","1 2 3 4 5 6","","2","","1","1","","1","1","","KIMPARANA","","","1","","2","","3 2","","1","","1","","","50000","4","f7ff795f-beed-11eb-8cbd-5cb901ddeae0"
"977420","1","1","3","","1","","MÉDINE","","","1","","2","","1","1","","1","1","","FANGASO","","","1","","2","","2","","1","","1","","","80000","4","fb679f2d-beed-11eb-8cbd-5cb901ddeae0"
"977421","1","1","3","","1","","MÉDINE","","","1","","2","","1","1","","1","1","","KOUORO BARRAGE","","","1","","2","","3 2","","1","","1","","","50000","4","fae1b692-beed-11eb-8cbd-5cb901ddeae0"
"977649","1","1","3","","3","","DALLE","","","2","","2","","0","","","1","1","","YATIALI","","","5","","2","","2","","-66","Rien","0","1","","","3","fd477bbf-beed-11eb-8cbd-5cb901ddeae0"
"977650","1","1","1","","1","","LOLONI","","","2","","2","","0","","","","","","","","","","","","","","","","","","","","","","fd802486-beed-11eb-8cbd-5cb901ddeae0"
"977651","1","1","2","","1","","LOLONI","","","2 3 4","","2","","0","","","0","","","","","","1","","2","","2","","4","","0","4","","","0","fc5ff0c5-beed-11eb-8cbd-5cb901ddeae0"
"977652","1","1","2","","1","","DALLE","","","3 2 4 7","","2","","0","","","1","1","","LOLONI","","","4 5","","2","","5 7","","-66","Rien","0","1","","","2","fd94f4b3-beed-11eb-8cbd-5cb901ddeae0"
"977653","1","1","1","","3","","DALLE","","","3 4 2","","2","","0","","","","","","","","","","","","","","","","","","","","","","fd52d7e1-beed-11eb-8cbd-5cb901ddeae0"
"977657","1","1","3","","3","","SIKASSO","","","2 3 4 6","","2","","1","1 4","","1","2","","SIKASSO","","","5 7","","2","","-66 1","Pour mes  propres besoins","4 1","","0","4 1","","","2","f8be31d1-beed-11eb-8cbd-5cb901ddeae0"
"977658","1","1","3","","1","","Troupeaux des peuleh","","","2 7 3","","2","","1","1 4","","1","1","","ZITONASSO","ZITONASSO","BURKINA FASSO","5 7","","2","","2 7","","1 4","","1","","","37500","2","fb79ca5a-beed-11eb-8cbd-5cb901ddeae0"
"977659","1","1","2","","3","","SIKASSO","","","3 4 2 7","","2","","1","1","","1","1","","TIOBOUGOU","","","7 6 3 5","","2","","2 5 6","","1","","1","","","27500","1","f90cb54b-beed-11eb-8cbd-5cb901ddeae0"
"977660","1","1","2","","1","","BRAMABOUGOU","","","2 3 4","","2","","0","","","1","1","","BAMBOUGOU(secondaire) - FIKKOLO ZANSO(tertiare) - TIOBOUGOU(tertiare)","","","4 5","","2","","2","","-66","Rien","1","","","45000","2","f887c959-beed-11eb-8cbd-5cb901ddeae0"
"977661","1","1","1 2","","2","","SIKASSO","","","2 3 4","","2","","1","4","","1","2","","NIENA","","","4 5","","2","","2 6","","1 4","","0","1","","","3","fd4eeaed-beed-11eb-8cbd-5cb901ddeae0"
"977663","1","1","2","","2","","BOUSIN","","SEGOU","2 3 4 5 6","","2","","0","","","1","2","","NIÈNA","","","5 6 7","","2","","4 5 7","","-66","Rien","1","","","150000","3","fe14b465-beed-11eb-8cbd-5cb901ddeae0"
"977664","1","1","2","","2","","NIÈNA","","","2 3 5 6 7 4","","2","","0","","","1","1","","KOUORO BARRAGE","","","5 6 7","","2","","6 7 8","","-66","Rien","1","","","250000","3","f9cdeb01-beed-11eb-8cbd-5cb901ddeae0"
"977665","1","1","2","","2","","KOUMANTOU","","","2 3 4 7 6","","2","","0","","","1","2","","SAN","","SÉGOU","5 6 7","","2","","4 3 6 7","","-66","Rien","1","","","75000","3","f9015fb5-beed-11eb-8cbd-5cb901ddeae0"
"977666","1","1","3","","2","","BOUSIN","SÉGOU","SÉGOU","2 3 4","","2","","1","1 4","","1","2","","SIKASSO","","","4 5 6 7","","2","","6 5 4 7","","1 4","","1","","","100000","2","fbf3a4bd-beed-11eb-8cbd-5cb901ddeae0"
"977667","1","1","3","","1","","Kamatio","Kadiana","","2 7","","2","","1","1","","1","2","","NIÈNA","","","5 7 4","","2","","3 5 7","","1","","0","1","","","3","f7e3d7ec-beed-11eb-8cbd-5cb901ddeae0"
"977669","1","1","2","","1","","Faguansso","","","2 3 4 6 5 7","","2","","1","1","","1","1","","Tenin","","","5 6 7 8","","2","","1","","1","","0","-66","Rien","","3","fcc80165-beed-11eb-8cbd-5cb901ddeae0"
"977670","1","1","2","","2","","Bousin","Ségou","","2 4 3","","2","","1","1","","1","2","","SIKASSO","","","4 5 6 7","","2","","1 2 3","","1","","0","1","","","2","fbbf61e0-beed-11eb-8cbd-5cb901ddeae0"
"977671","1","1","3","","2","","San bako","","","3 4 2","","3","","1","1 4","","1","2","","NIÈNA","","","5 6 4","","2","","2 1 6 7","","1 4","","1","","","75000","2","fa6b0333-beed-11eb-8cbd-5cb901ddeae0"
"977672","1","1","1","","1","","Kouin","","","2 3 4","","2","","0","","","","","","","","","","","","","","","","","","","","","","fa173fb1-beed-11eb-8cbd-5cb901ddeae0"
"977673","1","1","2","","1","","Kuoin","","","2 3 4 6","","2","","0","","","1","1","","SIKASSO","","","4 5","","2","","1 4 5 8","","-66","Rien","1","","","15000","3","f9af20af-beed-11eb-8cbd-5cb901ddeae0"
"977681","1","1","1","","1","","SOLOMANIBOUGOU","","","2 7 3","","2","","0","","","","","","","","","","","","","","","","","","","","","","f86e2a22-beed-11eb-8cbd-5cb901ddeae0"
"977682","1","1","3","","1","","SOKORONI","","","2 1 3","","2","","0","","","1","1","","LOLONI","","","3 5 1","","2","","2 1 3","","4","","0","4","","","1","f8065fe5-beed-11eb-8cbd-5cb901ddeae0"
"977683","1","1","4","","","","","","","","","","","","","","1","1","","LOLONI","","","8","","2","","1 2","","1","","0","1","","","4","ff01219b-beed-11eb-8cbd-5cb901ddeae0"
"977684","1","1","4","","","","","","","","","","","","","","1","1","","DALLE","","","5","","2","","1 2 3","","1","","1","","","100000","4","fd197f30-beed-11eb-8cbd-5cb901ddeae0"
"977685","1","1","4","","","","","","","","","","","","","","1","1","","FASSELIBOUGOU","","","1","","2","","3 2 1","","1","","1","","","40000","4","fdda498e-beed-11eb-8cbd-5cb901ddeae0"
"977687","1","1","1","","2","","Sikasso","","","2 1","","2","","1","1","","","","","","","","","","","","","","","","","","","","","fc89452d-beed-11eb-8cbd-5cb901ddeae0"
"977688","1","1","3","","1","","TONABOUGOU","","","2 3 1","","2","","1","1","","1","1","","TONABOUGOU","","","1 5","","2","","1 2 3 6 7","","1","","1","","","615000","2","fbd1dd01-beed-11eb-8cbd-5cb901ddeae0"
"977690","1","1","3","","1","","Ladjibougou","","","1 2 3","","2","","0","","","1","1","","DALLE","","","3 1 5","","2","","3 2 1","","1","","0","1","","","4","f7dc10b1-beed-11eb-8cbd-5cb901ddeae0"
"977691","1","1","3","","1","","DALLE","","","1 2 3","","2","","0","","","1","1","","Zitonasso","","","1 5","","2","","1 2 3","","1","","0","1","","","3","fb3b30d3-beed-11eb-8cbd-5cb901ddeae0"
"977693","1","1","3","","1","","LADJIBOUGOU","","","2 3 1","","1","","0","","","1","1","","Dalle","","","3 1","","1","","1 2 3","","4","","0","4","","","4","fd90ff8e-beed-11eb-8cbd-5cb901ddeae0"
"977695","1","1","3","","1","","BANBOUGOU","","","1","","2","","1","1","","1","2","","Sikasso","Medine","","1 3","","2","","3 1 2","","1","","1","","","500000","4","fcbc2637-beed-11eb-8cbd-5cb901ddeae0"
"977697","1","1","3","","1","","KOUORO BARRAGE","","","1","","2","","0","","","1","2","","Sikasso","Médine","","1","","2","","1 2 3 7 6","","-66","dehors de mouton et chèvre il ne fait rien comme la commerce","1","","","50000","4","fe99f8eb-beed-11eb-8cbd-5cb901ddeae0"
"977698","1","1","3","","1","","BOUSIN","","Ségou","1 2 3","","2","","1","1","","1","1","","Sikasso","Médine","","3 1 4","","2","","3 2 1 8","","1","","1","","","250000","4","fb33e8cd-beed-11eb-8cbd-5cb901ddeae0"
"977699","1","1","3","","1","","NIÈNA","","","2 1 3","","2","","0","","","1","1","","GOSSA","","","1 3 4","","2","","2 1 3","","1","","1","","","250000","4","fc302548-beed-11eb-8cbd-5cb901ddeae0"
"977700","1","1","3","","1","","NIÈNA","","","1 2 7","","2","","1","1","","1","1","","TODJILA","","","1 3 4","","2","","1 2 3 6","","1","","1","","","50000","4","fbe1682a-beed-11eb-8cbd-5cb901ddeae0"
"977703","1","1","3","","1","","NIÈNA","","","1","","2","","1","1","","0","","","","","","1","","2","","1 2 3 6","","1","","1","","","250000","4","f9642043-beed-11eb-8cbd-5cb901ddeae0"
"977704","1","1","3","","1","","KIMPARANA","","","1","","2","","0","","","0","","","","","","1","","2","","1 2 6 3 8","","-66","En dehors de mouton  et chèvre il ne faire rien","1","","","200000","4","fdb43122-beed-11eb-8cbd-5cb901ddeae0"
"977706","1","1","3","","1","","Fama, sofara","","","1","","2","","1","1","","0","","","","","","1","","2","","1 2 8 3","","1","","1","","","50000","4","fb077176-beed-11eb-8cbd-5cb901ddeae0"
"977707","1","1","3","","1","","BAMBOUGOU,ZANDIGUILA","","","1","","2","","0","","","0","","","","","","1","","2","","8 3 2 1","","-66","A dehors de moutons et chèvre il ne faire rien","1","","","50000","4","fc2351b3-beed-11eb-8cbd-5cb901ddeae0"
"977708","1","1","3","","1","","BAMBOUGOU","","","1","","2","","0","","","0","","","","","","1","","2","","2 3","","-66","Non","1","","","250000","4","fc9d112c-beed-11eb-8cbd-5cb901ddeae0"
"977975","1","1","3","","1","","DALLE","Marché du DALLE","","2","","2","","1","5","","1","3","","LOLONI","Parc de LOLONI","","1","","2","","6 8 3 1","","5","","0","-66","Je fais l`agriculture","","4","f98210ad-beed-11eb-8cbd-5cb901ddeae0"
"977976","1","1","3","","1","","LASSINA BAMBA Togoda","","","2","","","","1","1 4","","1","1","","FASSEBOUGOU","","","1","","2","","3 5 1 8","","1 4","","1","","","30000","4","f959da38-beed-11eb-8cbd-5cb901ddeae0"
"977977","1","1","4","","","","","","","","","","","","","","1","1","","Sofarasso","","Burkina Faso","-66","Pour le sacrifice","2","","8 1 3 4 5 6","","-66","Non","0","","","","1","fd8ce511-beed-11eb-8cbd-5cb901ddeae0"
"977978","1","1","3","","1","","WOUTULA","","Burkina Faso","2 1","","2","","1","1","","1","1","","GALAMANOGOBOUGOU","","","1","","","","1 4 5 6 7 3 2","","1","","1","","","50000","4","fd5a86a1-beed-11eb-8cbd-5cb901ddeae0"
"977979","1","1","3","","1","","DINIBOUGOU","","","2","","2","","0","","","1","1","","DINIBOUGOU","","","1","","2","","1 2 3 4 5 6 7 8","","-66","Non je n`achète d`autres espèces animales","1","","","40000","4","fe5cf7e7-beed-11eb-8cbd-5cb901ddeae0"
"977981","1","1","4","","","","","","","","","","","","","","1","3","","SIKASSO","Médine","","1","","2","","1 2 3 4 5 7 8 6","","-66","Rien","1","","","35000","4","f865a83b-beed-11eb-8cbd-5cb901ddeae0"
"977982","1","1","4","","","","","","","","","","","","","","1","1","","Touliyasso","","","1","","2","","1 3 8","","1","","1","","","30000","4","fa7353e0-beed-11eb-8cbd-5cb901ddeae0"
"977983","1","1","4","","","","","","","","","","","","","","1","1","","Gagnerso","","","1","","2","","1 3","","-66","Non","1","","","17000","4","fc7e86c4-beed-11eb-8cbd-5cb901ddeae0"
"977984","1","1","3","","1","","BAMOUGOU","","","1","","2","","0","","","1","3","","Sikasso","Médine","","1","","2","","1 2 3 4 5 6 7 8","","-66","Non","1","","","4000","5","fe2d3c08-beed-11eb-8cbd-5cb901ddeae0"
"977985","1","1","3","","3","","BAMOUGOU","","","2","","2","","0","","","1","3","","Finkolo ZANSO","","","1","","2","","3","","-66","Non","1","","","45000","3","f9899fa7-beed-11eb-8cbd-5cb901ddeae0"
"977987","1","1","1","","3","","Fatiné","","","2","","2","","0","","","","","","","","","","","","","","","","","","","","","","fba957f0-beed-11eb-8cbd-5cb901ddeae0"
"977988","1","1","1","","3","","Sikasso","Sanoubougou","","2 1","","2","","0","","","","","","","","","","","","","","","","","","","","","","fa45c1af-beed-11eb-8cbd-5cb901ddeae0"
"977989","1","1","1","","3","","Fatoma","","Mopti","2","","2","","0","","","","","","","","","","","","","","","","","","","","","","fef65f6c-beed-11eb-8cbd-5cb901ddeae0"
"977990","1","1","3","","3","","Sikasso","Sanoubougou","","2 1","","2","","1","1","","1","3","","Sikasso","Sanoubougou","","1","","2","","8 3 2 1 4 5 6 7","","1","","1","","","80000","4","fa48aa27-beed-11eb-8cbd-5cb901ddeae0"
"977991","1","1","1","","3","","Marché de San","","Ségou","2","","2","","0","","","","","","","","","","","","","","","","","","","","","","fcfa2ffc-beed-11eb-8cbd-5cb901ddeae0"
"977996","1","1","1","","1","","KOUORO BARRAGE","","","2","","2","","0","","","","","","","","","","","","","","","","","","","","","","f83d524d-beed-11eb-8cbd-5cb901ddeae0"
"977997","1","1","1","","1","","San","","","2","","2","","1","1 2 5","","","","","","","","","","","","","","","","","","","","","fb2a298e-beed-11eb-8cbd-5cb901ddeae0"
"977998","1","1","1","","1","","San","","","2 1","","2","","0","","","","","","","","","","","","","","","","","","","","","","fa287464-beed-11eb-8cbd-5cb901ddeae0"
"977999","1","1","1","","1","","KOUORO BARRAGE","","","2","","2","","0","","","","","","","","","","","","","","","","","","","","","","fb902150-beed-11eb-8cbd-5cb901ddeae0"
"978000","1","1","1","","1","","San","","","2","","2","","1","1","","","","","","","","","","","","","","","","","","","","","fe191a6d-beed-11eb-8cbd-5cb901ddeae0"
"980516","1","1","4","","","","","","","","","","","","","","1","1","","Kourouma","","","5","","-66","A vélo","1 2 3 7 4","","4","","1","","","15000","1","fed1fa13-beed-11eb-8cbd-5cb901ddeae0"
"980518","1","1","3","","1","","Dingasso","","Commune de  N’dorola","1","","-66","Véhicule (moto)","0","","","0","","","","","","-66","Un vendeur","-66","Moto (vendeur)","2 3 1 5 8 7","","-66","Aucune","0","1","","","4","fd1f8ceb-beed-11eb-8cbd-5cb901ddeae0"
"980521","1","1","4","","","","","","","","","","","","","","1","2","","Bobo Dioulasso","","","1","","2","","1 2 3 4 5 6 7 8","","1","","0","1","","","4","f971d8da-beed-11eb-8cbd-5cb901ddeae0"
"980523","1","1","3","","1","","Sougouma","","Commune de kourouma","1","","-66","A vélo","0","","","1","1","","C’est un vendeur ","","","","","","","","","","","","","","","","fec4173a-beed-11eb-8cbd-5cb901ddeae0"
"980525","1","1","4","","","","","","","","","","","","","","1","1","","Kourouma","","","1","","-66","A moto","1 2 3 5 6","","1","","0","1","","","4","fc678147-beed-11eb-8cbd-5cb901ddeae0"
"980526","1","1","4","","","","","","","","","","","","","","1","3","","Dandé","","Province du Houet","1","","-66","A moto","1 2 3 4 5 7 8 6","","1","","0","1","","","4","fb602490-beed-11eb-8cbd-5cb901ddeae0"
"980528","1","1","3","","1","","Sougouma","","Commune de kourouma","1","","-66","A moto","0","","","1","-66","C`est un vendeur ","","","","","","","","","","","","","","","","","f9f4c968-beed-11eb-8cbd-5cb901ddeae0"
"980530","1","1","3","","1","","Wakilé","","Commune de kourouma","1","","-66","A moto","0","","","1","-66","","C`est un vendeur ","","","1","","-66","","","","","","0","","","","","f839e0eb-beed-11eb-8cbd-5cb901ddeae0"
"980532","1","1","4","","","","","","","","","","","","","","1","-66","Chez moi à la maison","Kourouma","","","7","","-66","A moto","3 1 2 5 8","","-66","Aucune","0","1","","","","fd3848aa-beed-11eb-8cbd-5cb901ddeae0"
"980534","1","1","-66","Vendeur","1","","Toukourna","","Commune de kourouma","1","","-66","A moto","1","4","","","","","","","","","","","","","","","","","","","","","fa361751-beed-11eb-8cbd-5cb901ddeae0"
"980536","1","1","3","","1","","Wakilé","","Commune de kourouma","1","","-66","A moto","0","","","1","","","","","","","","","","","","","","","","","","","fadefe6b-beed-11eb-8cbd-5cb901ddeae0"
"980538","1","1","2","","1","","Djigouèra","","Commune de kourouma","1","","-66","A moto","0","","","1","","","","","","","","","","","","","","","","","","","fa0dc6ca-beed-11eb-8cbd-5cb901ddeae0"
"980540","1","1","-66","Vendeur","1","","Gnizansso","","Commune de kourouma","2","","-66","A vélo","1","4 3","","","","","","","","","","","","","","","","","","","","","faccdef7-beed-11eb-8cbd-5cb901ddeae0"
"980543","1","1","4","","","","","","","","","","","","","","1","1","","N’dorola","","","8","","-66","A moto a","2 1 3 4","","-66","Aucune","0","1","","","4","fe735cc6-beed-11eb-8cbd-5cb901ddeae0"
"980545","1","1","4","","","","","","","","","","","","","","1","3","","Marché de  Bobo Dioulasso","","","1","","2","","1 2 3 7 8","","1","","1","","","","4","fbac41d7-beed-11eb-8cbd-5cb901ddeae0"
"980547","1","1","4","","","","","","","","","","","","","","1","1","","Kourouma","Quartier Mossi","","4","","-66","A moto","1 2 3 5 7 8 4","","-66","Aucune","0","4","","","1","fa87065b-beed-11eb-8cbd-5cb901ddeae0"
"980548","1","1","4","","","","","","","","","","","","","","1","1","","Kourouma","Quartier des forgerons","","5","","-66","A moto ","1 2 3 4 5 6 7 8","","4","","0","4 3","","","1","fb9d4708-beed-11eb-8cbd-5cb901ddeae0"
"980549","1","1","1","","1","","Zamakologo","","Commune de kourouma","4","","-66","A vélo","1","4","","","","","","","","","","","","","","","","","","","","","fc42c991-beed-11eb-8cbd-5cb901ddeae0"
"980550","1","1","1","","1","","Kourouma","Quartier Peul","","2","","-66","A vélo","1","4","","","","","","","","","","","","","","","","","","","","","fdbcc83c-beed-11eb-8cbd-5cb901ddeae0"
"980551","1","1","-66","Acheteur","1","","","","","-66","Un acheteur ","","","","","","1","1","","Kourouma","","","8","","-66","A moto","2 1 3 4 7","","","","1","","","12500","4","fdcb437d-beed-11eb-8cbd-5cb901ddeae0"
"985950","1","1","4","","","","","","","","","","","","","","1","2","","Tita","Centre ville de Tita","Sanguié/ centre-ouest","4","","-66","A moto tricycle","4 7 3","","1","","0","4","","","5","fed5c38d-beed-11eb-8cbd-5cb901ddeae0"
"985951","1","1","3","","1","","Bounga","Village","Sanguié commune de zamo","1","","-66","Tricycle","0","","","1","1","","","Bounga","Sanguié a zamo","1","","-66","Tricycle","7 4 1","","-66","Rien","1","","","5500","2","fed9d11b-beed-11eb-8cbd-5cb901ddeae0"
"985952","1","1","1","","1","","Lilbouré","Village","Sanguié centre-ouest","2","","-66","Moto","0","","","","","","","","","","","","","","","","","","","","","","fd797b7c-beed-11eb-8cbd-5cb901ddeae0"
"985953","1","1","3 4","","1","","Lilbouré","Village","Sanguié/ centre-ouest","2","","-66","Moto","0","","","1","3","","Tita","Marché à bétail de Tita","Sanguié","4","","-66","Moto","1 2 6","","4","","0","-66","Rien","","1","fd085ae7-beed-11eb-8cbd-5cb901ddeae0"
"985954","1","1","4","","","","","","","","","","","","","","1","2","","Tita","Tita","Sanguié/centre-ouest","4","","-66","A moto","1 2 4 7","","-66","Rien","0","-66","Rien","","2","fdb0a377-beed-11eb-8cbd-5cb901ddeae0"
"985955","1","1","4","","","","","","","","","","","","","","0","","","","","","2","","-66","A moto","1 2 4 3 7","","-66","Aucune espèce à acheté","0","4","","","1","fb81d5ca-beed-11eb-8cbd-5cb901ddeae0"
"985956","1","1","3","","1","","Zawara","Tyodier"," Sanguié/centre-ouest","2","","-66","Moto","0","","","1","2","","Tita","Tita ville","Sanguié, centre ouest","1","","-66","Moto","3 7 4","","-66","Aucune espèce d`animaux à acheté","0","4","","","1","fe6fbfcb-beed-11eb-8cbd-5cb901ddeae0"
"985957","1","1","3","","1","","Karabole","Village","Sanguié/ centre-ouest","2","","-66","A moto","0","","","0","","","","","","4","","-66","Par moto","2 4 3 5","","-66","Aucune espèce ","0","4","","","5","fc5c7cb7-beed-11eb-8cbd-5cb901ddeae0"
"985958","1","1","1","","1","","Tenado","Villages","Sanguié/centre-ouest","2","","-66","A moto","0","","","","","","","","","","","","","","","","","","","","","","fd76c74f-beed-11eb-8cbd-5cb901ddeae0"
"985961","1","1","1","","2","","Tita","Tita ville","Sanguié/ centre-ouest","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","fa10675c-beed-11eb-8cbd-5cb901ddeae0"
"986926","1","1","4","","","","","","","","","","","","","","1","-66","Boucherie","","","","8","","1","","1","","-66","Pas d`autre animale","1","","","20000","10","fb525d87-beed-11eb-8cbd-5cb901ddeae0"
"986927","1","1","4","","","","","","","","","","","","","","1","1","","Tita","","","7","","1","","1","","","","1","","","25000","4","f7eafdf6-beed-11eb-8cbd-5cb901ddeae0"
"986928","1","1","3","","2","","Ougadougou","","","1","","2","","0","","","1","2","","Ougadougou","","","1","","2","","1 3","","-66","Pas d`autres animaux","1","","","25000","10","f898f481-beed-11eb-8cbd-5cb901ddeae0"
"986929","1","1","3","","1","","Vily bongo","","","1","","-66","Moto","1","4 1","","1","3","","Marché à bétail de Tita","","","1","","-66","Moto","","","","","","","","","","f91c51d7-beed-11eb-8cbd-5cb901ddeae0"
"986930","1","1","3","","3","","Ouagadougou","","","1","","2","","0","","","1","2","","Ouagadougou","","","1","","2","","1 3","","-66","Aucun","0","-66","Aucun","","10","fa254660-beed-11eb-8cbd-5cb901ddeae0"
"986931","1","1","3","","3","","Marché à bétail de Tita","","","1","","-66","Moto","1","4","","1","3","","Tita","","","1","","-66","Moto","1 2 7","","4","","1","","","25000","10","fc3b9501-beed-11eb-8cbd-5cb901ddeae0"
"986933","1","1","3","","1","","Tita","","","1","","-66","Moto","1","4","","1","3","","Marche a bétail de tita","","","1","","-66","Moto","5 1","","1 4","","0","4","","","10","f914198b-beed-11eb-8cbd-5cb901ddeae0"
"986934","1","1","3","","1","","Baganapoun","","","1","","3","","1","","","1","1","","Tita","","","1","","3","","1 3","","-66","Aucun","1","","","2000","10","fd56c670-beed-11eb-8cbd-5cb901ddeae0"
"986935","1","1","3","","1","","pouni","","","1","","-66","Moto","1","","","1","3","","Marché  a bétail de Tita","","","1","","-66","Motocyclette","1 3 8","","4","","0","","","","10","f8e6ff04-beed-11eb-8cbd-5cb901ddeae0"
"986936","1","1","3","","2","","Ouagadougou","","","1","","2","","0","","","1","2","","Ouagadougou","","","1","","2","","1 3","","-66","Pas d`autres animaux","1","","","25000","10","fcb5833f-beed-11eb-8cbd-5cb901ddeae0"
"992659","1","1","3","","1","","Hourourbé daaka","Hourourbé daaka","Medina Ndiathbé","1","","1","","","","","1","1","","Medina Ndiathbé","Medina Ndiathbé","Podor","1","","1","","","","","","","","","","","f8fe64b6-beed-11eb-8cbd-5cb901ddeae0"
