"fid (see mrktc_generalinfo)","Unique Row ID (see mrktc_generalinfo)","Unique Row ID","Market no","Name of market","Ward","District","Type of market (see mrktc_lkpmrkt_type)","Unique Row Identifier (UUID)"
"1154800","1","3","3","Nyashimo","Nyashimo","Busega","1","4709e016-dec9-11ec-9416-9440c9ab47f0"
"1154801","1","1","1","Nyashimo","Chamgasa","Busega","1","38472ff4-dec9-11ec-9416-9440c9ab47f0"
"1154802","1","1","1","Dutwa","Dutwa","Bariadi dc","1","4c044290-dec9-11ec-9416-9440c9ab47f0"
"1154803","1","1","1","Kidinda","Kidinda","Bariadi dc","1","358aaeef-dec9-11ec-9416-9440c9ab47f0"
"1154807","1","1","1","Dutwa","Dutwa","Bariadi dc","1","421a6f5b-dec9-11ec-9416-9440c9ab47f0"
"1154809","1","1","1","Kidinda","Kidinda","Bariadi tc","1","48256027-dec9-11ec-9416-9440c9ab47f0"
"1154814","1","1","1","Dutwa","Dutwa","Bariadi dc","1","4bf57379-dec9-11ec-9416-9440c9ab47f0"
"1154815","1","1","1","Dutwa","Dutwa","Bariadi dc","1","4ed8252c-dec9-11ec-9416-9440c9ab47f0"
"1154815","1","2","2","Kidinda","Kidinda","Bariadi tc","1","4ed834ed-dec9-11ec-9416-9440c9ab47f0"
"1154817","1","1","1","Dutwa","Dutwa","Bariadi dc","1","399f46ce-dec9-11ec-9416-9440c9ab47f0"
"1154820","1","1","1","Dutwa","Dutwa","Bariadi dc","1","459a1126-dec9-11ec-9416-9440c9ab47f0"
"1154826","1","1","1","Nasa","Nyashimo","Busega","1","377c7f3d-dec9-11ec-9416-9440c9ab47f0"
"1154827","1","1","1","Dutwa","Dutwa","Bariadi","1","3b4dff68-dec9-11ec-9416-9440c9ab47f0"
"1154827","1","2","2","Nasa","Nyashimo","Busega","1","3b4e0eb3-dec9-11ec-9416-9440c9ab47f0"
"1154828","1","1","1","Sola","Masanza","Magu","1","4a0a4dbc-dec9-11ec-9416-9440c9ab47f0"
