"fid (see mrktc_mrktactivities)","Unique Row ID (see mrktc_mrktactivities)","Unique Row ID (see mrktc_mrktactivities)","If no, which other species will you consider instead? (see mrktc_lkpothrspecies)","Unique Row Identifier (UUID)"
"1010902","1","1","4","3dba1f52-c253-11eb-8cbd-5cb901ddeae0"
"1010903","1","1","4","3cb6f563-c253-11eb-8cbd-5cb901ddeae0"
"1010904","1","1","4","3aa778f3-c253-11eb-8cbd-5cb901ddeae0"
"1010906","1","1","4","3e9bcd5c-c253-11eb-8cbd-5cb901ddeae0"
"1011022","1","1","1","682688f8-c31c-11eb-8cbd-5cb901ddeae0"
"1011022","1","1","4","6826a38a-c31c-11eb-8cbd-5cb901ddeae0"
"1011162","1","1","1","623b04df-c31c-11eb-8cbd-5cb901ddeae0"
"1011163","1","1","1","6b2b287b-c31c-11eb-8cbd-5cb901ddeae0"
"1011174","1","1","1","6a87ccf0-c31c-11eb-8cbd-5cb901ddeae0"
"1016384","1","1","4","b817cdb3-d2d3-11eb-9de1-9440c9ab47f0"
"1020170","1","1","-66","0a7b17fe-d91d-11eb-9de1-9440c9ab47f0"
"1020179","1","1","-66","05d57311-d91d-11eb-9de1-9440c9ab47f0"
"1020184","1","1","-66","0d8e52be-d91d-11eb-9de1-9440c9ab47f0"
"1020193","1","1","-66","09392c58-d91d-11eb-9de1-9440c9ab47f0"
"1020197","1","1","-66","0714a97b-d91d-11eb-9de1-9440c9ab47f0"
"1020201","1","1","-66","0747f7cf-d91d-11eb-9de1-9440c9ab47f0"
"1020202","1","1","-66","077b91b5-d91d-11eb-9de1-9440c9ab47f0"
"1020208","1","1","-66","0bb68a9c-d91d-11eb-9de1-9440c9ab47f0"
"1020212","1","1","-66","0e6a06fa-d91d-11eb-9de1-9440c9ab47f0"
"1020219","1","1","1","04e8ec65-d91d-11eb-9de1-9440c9ab47f0"
"1020221","1","1","-66","090765c6-d91d-11eb-9de1-9440c9ab47f0"
"1070360","1","1","1","ebd25263-3c1f-11ec-ab28-9440c9ab47f0"
"1144525","1","1","1","28049e26-dc16-11ec-9416-9440c9ab47f0"
"1144529","1","1","4","27ef9e0f-dc16-11ec-9416-9440c9ab47f0"
"1144531","1","1","4","28add11b-dc16-11ec-9416-9440c9ab47f0"
"1144625","1","1","-66","74b2133c-dc08-11ec-9416-9440c9ab47f0"
"1144628","1","1","-66","6efa82fd-dc08-11ec-9416-9440c9ab47f0"
"1144635","1","1","-66","75cd846c-dc08-11ec-9416-9440c9ab47f0"
"1144637","1","1","-66","6d149b73-dc08-11ec-9416-9440c9ab47f0"
"1144638","1","1","-66","6c707c1a-dc08-11ec-9416-9440c9ab47f0"
"1145142","1","1","-66","6d775b85-dc08-11ec-9416-9440c9ab47f0"
"1145146","1","1","4","67510b36-dc08-11ec-9416-9440c9ab47f0"
"1145149","1","1","-66","712ae7b2-dc08-11ec-9416-9440c9ab47f0"
"1145153","1","1","-66","63c9039a-dc08-11ec-9416-9440c9ab47f0"
"1145586","1","1","1","2cd78f39-dc16-11ec-9416-9440c9ab47f0"
"1145596","1","1","1","21136a4d-dc16-11ec-9416-9440c9ab47f0"
"1145623","1","1","-66","3d5b3b3a-dc0e-11ec-9416-9440c9ab47f0"
"1145629","1","1","-66","40615c49-dc0e-11ec-9416-9440c9ab47f0"
"1145631","1","1","-66","38bc463d-dc0e-11ec-9416-9440c9ab47f0"
"1145640","1","1","1","3866436b-dc0e-11ec-9416-9440c9ab47f0"
"1145651","1","1","4","3be9f4d0-dc0e-11ec-9416-9440c9ab47f0"
"1145654","1","1","-66","41741ae3-dc0e-11ec-9416-9440c9ab47f0"
"1145659","1","1","4","47dd9792-dc0e-11ec-9416-9440c9ab47f0"
"1145660","1","1","4","3c1d07b1-dc0e-11ec-9416-9440c9ab47f0"
"1145662","1","1","4","41bb6d80-dc0e-11ec-9416-9440c9ab47f0"
"1145665","1","1","4","3d109a1e-dc0e-11ec-9416-9440c9ab47f0"
"1146648","1","1","-66","408e6616-dc0e-11ec-9416-9440c9ab47f0"
"1146650","1","1","4","3fd81697-dc0e-11ec-9416-9440c9ab47f0"
"1146651","1","1","-66","37e64ad7-dc0e-11ec-9416-9440c9ab47f0"
"1146653","1","1","-66","36dd0005-dc0e-11ec-9416-9440c9ab47f0"
"1146656","1","1","-66","44e23c75-dc0e-11ec-9416-9440c9ab47f0"
"1146657","1","1","-66","40a74c3a-dc0e-11ec-9416-9440c9ab47f0"
"1146660","1","1","-66","4822cd11-dc0e-11ec-9416-9440c9ab47f0"
"1146662","1","1","-66","40983fe6-dc0e-11ec-9416-9440c9ab47f0"
"1146664","1","1","-66","40de28f4-dc0e-11ec-9416-9440c9ab47f0"
"1146667","1","1","4","38819b57-dc0e-11ec-9416-9440c9ab47f0"
"1147089","1","1","1","29a3acb5-dc16-11ec-9416-9440c9ab47f0"
"1147339","1","1","-66","44c3d8e3-dc0e-11ec-9416-9440c9ab47f0"
"1147340","1","1","4","3cb8eb8b-dc0e-11ec-9416-9440c9ab47f0"
"1147343","1","1","-66","391ed54d-dc0e-11ec-9416-9440c9ab47f0"
"1147344","1","1","1","447a5f48-dc0e-11ec-9416-9440c9ab47f0"
"1147346","1","1","-66","3cc0f65f-dc0e-11ec-9416-9440c9ab47f0"
"1147347","1","1","4","479a618d-dc0e-11ec-9416-9440c9ab47f0"
"1147446","1","1","-66","39c5f867-dc0e-11ec-9416-9440c9ab47f0"
"1147449","1","1","-66","43721ec4-dc0e-11ec-9416-9440c9ab47f0"
"1147454","1","1","-66","41258f26-dc0e-11ec-9416-9440c9ab47f0"
"1147461","1","1","-66","3692ddd5-dc0e-11ec-9416-9440c9ab47f0"
"1147462","1","1","4","48107602-dc0e-11ec-9416-9440c9ab47f0"
"1147464","1","1","-66","3d285334-dc0e-11ec-9416-9440c9ab47f0"
"1147465","1","1","-66","37d24eee-dc0e-11ec-9416-9440c9ab47f0"
"1147468","1","1","-66","35d78d00-dc0e-11ec-9416-9440c9ab47f0"
"1147469","1","1","-66","459e274a-dc0e-11ec-9416-9440c9ab47f0"
"1147476","1","1","-66","3e302bcb-dc0e-11ec-9416-9440c9ab47f0"
"1148063","1","1","1","41a8aef2-dc0e-11ec-9416-9440c9ab47f0"
"1148068","1","1","1","434600b8-dc0e-11ec-9416-9440c9ab47f0"
"1148740","1","1","-66","41b70381-dc0e-11ec-9416-9440c9ab47f0"
"1148745","1","1","1","3eee6378-dc0e-11ec-9416-9440c9ab47f0"
"1148745","1","1","4","3eee5232-dc0e-11ec-9416-9440c9ab47f0"
"1148751","1","1","3","3f3232f1-dc0e-11ec-9416-9440c9ab47f0"
"1148751","1","1","4","3f32429c-dc0e-11ec-9416-9440c9ab47f0"
"1148821","1","1","4","39f25d44-dc0e-11ec-9416-9440c9ab47f0"
"1148840","1","1","-66","39cfa8a0-dc0e-11ec-9416-9440c9ab47f0"
"1148843","1","1","-66","4191d4e1-dc0e-11ec-9416-9440c9ab47f0"
"1148847","1","1","-66","4227aeed-dc0e-11ec-9416-9440c9ab47f0"
"1148852","1","1","4","432725cf-dc0e-11ec-9416-9440c9ab47f0"
"1150186","1","1","-66","98509966-dc14-11ec-9416-9440c9ab47f0"
"1150191","1","1","1","91421b97-dc14-11ec-9416-9440c9ab47f0"
"1150561","1","1","1","6ca9de5b-dc08-11ec-9416-9440c9ab47f0"
"1150561","1","1","3","6ca9fb5d-dc08-11ec-9416-9440c9ab47f0"
"1150561","1","1","4","6ca9cd60-dc08-11ec-9416-9440c9ab47f0"
"1150561","1","1","5","6ca9edcf-dc08-11ec-9416-9440c9ab47f0"
"1150563","1","1","-66","721e1df0-dc08-11ec-9416-9440c9ab47f0"
"1150564","1","1","-66","6a9097cc-dc08-11ec-9416-9440c9ab47f0"
"1150718","1","1","4","733a8d3d-dc08-11ec-9416-9440c9ab47f0"
"1150719","1","1","3","658f36b6-dc08-11ec-9416-9440c9ab47f0"
"1150722","1","1","4","68946bb3-dc08-11ec-9416-9440c9ab47f0"
"1150724","1","1","4","7086a5f3-dc08-11ec-9416-9440c9ab47f0"
"1151110","1","1","-66","6ff5e102-dc08-11ec-9416-9440c9ab47f0"
"1151111","1","1","-66","70c55c01-dc08-11ec-9416-9440c9ab47f0"
"1151675","1","1","-66","6f3e3567-dc08-11ec-9416-9440c9ab47f0"
"1151678","1","1","-66","77e74926-dc08-11ec-9416-9440c9ab47f0"
"1151683","1","1","1","6941e3ab-dc08-11ec-9416-9440c9ab47f0"
"1151683","1","1","4","6941f233-dc08-11ec-9416-9440c9ab47f0"
