"fid (see mrktc_mrktactivities)","Unique Row ID (see mrktc_mrktactivities)","Unique Row ID (see mrktc_mrktactivities)","9. What criteria do you use to decide which small ruminants to buy? (see mrktc_lkpbuy_criteria)","Unique Row Identifier (UUID)"
"977404","1","1","2","fdc4ac5a-beed-11eb-8cbd-5cb901ddeae0"
"977405","1","1","2","ff15828e-beed-11eb-8cbd-5cb901ddeae0"
"977405","1","1","3","ff15941a-beed-11eb-8cbd-5cb901ddeae0"
"977406","1","1","1","fbb49e23-beed-11eb-8cbd-5cb901ddeae0"
"977406","1","1","2","fbb4b06e-beed-11eb-8cbd-5cb901ddeae0"
"977406","1","1","3","fbb4befb-beed-11eb-8cbd-5cb901ddeae0"
"977406","1","1","4","fbb4d10c-beed-11eb-8cbd-5cb901ddeae0"
"977406","1","1","5","fbb4e127-beed-11eb-8cbd-5cb901ddeae0"
"977406","1","1","6","fbb4efc0-beed-11eb-8cbd-5cb901ddeae0"
"977406","1","1","7","fbb4ff4e-beed-11eb-8cbd-5cb901ddeae0"
"977406","1","1","8","fbb512e8-beed-11eb-8cbd-5cb901ddeae0"
"977407","1","1","2","f8c26254-beed-11eb-8cbd-5cb901ddeae0"
"977407","1","1","3","f8c275c7-beed-11eb-8cbd-5cb901ddeae0"
"977411","1","1","1","fa9c0ac2-beed-11eb-8cbd-5cb901ddeae0"
"977411","1","1","3","fa9c1ba1-beed-11eb-8cbd-5cb901ddeae0"
"977412","1","1","1","f86a162a-beed-11eb-8cbd-5cb901ddeae0"
"977412","1","1","2","f86a2383-beed-11eb-8cbd-5cb901ddeae0"
"977412","1","1","3","f86a3232-beed-11eb-8cbd-5cb901ddeae0"
"977412","1","1","4","f86a42ed-beed-11eb-8cbd-5cb901ddeae0"
"977412","1","1","5","f86a52d9-beed-11eb-8cbd-5cb901ddeae0"
"977412","1","1","6","f86a621e-beed-11eb-8cbd-5cb901ddeae0"
"977412","1","1","7","f86a71b3-beed-11eb-8cbd-5cb901ddeae0"
"977412","1","1","8","f86a7e0d-beed-11eb-8cbd-5cb901ddeae0"
"977413","1","1","1","f89d0030-beed-11eb-8cbd-5cb901ddeae0"
"977413","1","1","2","f89ce219-beed-11eb-8cbd-5cb901ddeae0"
"977413","1","1","3","f89cf257-beed-11eb-8cbd-5cb901ddeae0"
"977414","1","1","1","fdf52440-beed-11eb-8cbd-5cb901ddeae0"
"977414","1","1","2","fdf534e8-beed-11eb-8cbd-5cb901ddeae0"
"977414","1","1","3","fdf54527-beed-11eb-8cbd-5cb901ddeae0"
"977414","1","1","4","fdf564cf-beed-11eb-8cbd-5cb901ddeae0"
"977414","1","1","5","fdf55629-beed-11eb-8cbd-5cb901ddeae0"
"977414","1","1","6","fdf574a0-beed-11eb-8cbd-5cb901ddeae0"
"977414","1","1","7","fdf58245-beed-11eb-8cbd-5cb901ddeae0"
"977414","1","1","8","fdf59089-beed-11eb-8cbd-5cb901ddeae0"
"977415","1","1","1","ff0f721b-beed-11eb-8cbd-5cb901ddeae0"
"977415","1","1","2","ff0f5ecc-beed-11eb-8cbd-5cb901ddeae0"
"977415","1","1","3","ff0f83bf-beed-11eb-8cbd-5cb901ddeae0"
"977415","1","1","4","ff0f9932-beed-11eb-8cbd-5cb901ddeae0"
"977415","1","1","5","ff0fac0b-beed-11eb-8cbd-5cb901ddeae0"
"977415","1","1","6","ff0fbfcb-beed-11eb-8cbd-5cb901ddeae0"
"977415","1","1","7","ff0fd00e-beed-11eb-8cbd-5cb901ddeae0"
"977415","1","1","8","ff0fde2b-beed-11eb-8cbd-5cb901ddeae0"
"977417","1","1","1","fbf82dc7-beed-11eb-8cbd-5cb901ddeae0"
"977417","1","1","2","fbf80ab2-beed-11eb-8cbd-5cb901ddeae0"
"977417","1","1","3","fbf81c6e-beed-11eb-8cbd-5cb901ddeae0"
"977417","1","1","7","fbf83e6d-beed-11eb-8cbd-5cb901ddeae0"
"977418","1","1","2","f976c8ab-beed-11eb-8cbd-5cb901ddeae0"
"977418","1","1","3","f976b9bd-beed-11eb-8cbd-5cb901ddeae0"
"977419","1","1","2","f8002cfb-beed-11eb-8cbd-5cb901ddeae0"
"977419","1","1","3","f8001d09-beed-11eb-8cbd-5cb901ddeae0"
"977420","1","1","2","fb67fd13-beed-11eb-8cbd-5cb901ddeae0"
"977421","1","1","2","fae22e98-beed-11eb-8cbd-5cb901ddeae0"
"977421","1","1","3","fae21d49-beed-11eb-8cbd-5cb901ddeae0"
"977649","1","1","2","fd47cdc9-beed-11eb-8cbd-5cb901ddeae0"
"977651","1","1","2","fc6075a2-beed-11eb-8cbd-5cb901ddeae0"
"977652","1","1","5","fd95ab15-beed-11eb-8cbd-5cb901ddeae0"
"977652","1","1","7","fd95bbd6-beed-11eb-8cbd-5cb901ddeae0"
"977657","1","1","-66","f8bec34c-beed-11eb-8cbd-5cb901ddeae0"
"977657","1","1","1","f8bed211-beed-11eb-8cbd-5cb901ddeae0"
"977658","1","1","2","fb7a8351-beed-11eb-8cbd-5cb901ddeae0"
"977658","1","1","7","fb7a944b-beed-11eb-8cbd-5cb901ddeae0"
"977659","1","1","2","f90d8393-beed-11eb-8cbd-5cb901ddeae0"
"977659","1","1","5","f90d8ee9-beed-11eb-8cbd-5cb901ddeae0"
"977659","1","1","6","f90d995a-beed-11eb-8cbd-5cb901ddeae0"
"977660","1","1","2","f8883b44-beed-11eb-8cbd-5cb901ddeae0"
"977661","1","1","2","fd4f9e97-beed-11eb-8cbd-5cb901ddeae0"
"977661","1","1","6","fd4fb096-beed-11eb-8cbd-5cb901ddeae0"
"977663","1","1","4","fe157f0b-beed-11eb-8cbd-5cb901ddeae0"
"977663","1","1","5","fe159039-beed-11eb-8cbd-5cb901ddeae0"
"977663","1","1","7","fe15a1fc-beed-11eb-8cbd-5cb901ddeae0"
"977664","1","1","6","f9cea3b5-beed-11eb-8cbd-5cb901ddeae0"
"977664","1","1","7","f9ceb39b-beed-11eb-8cbd-5cb901ddeae0"
"977664","1","1","8","f9cec29d-beed-11eb-8cbd-5cb901ddeae0"
"977665","1","1","3","f9021049-beed-11eb-8cbd-5cb901ddeae0"
"977665","1","1","4","f901ff75-beed-11eb-8cbd-5cb901ddeae0"
"977665","1","1","6","f9022119-beed-11eb-8cbd-5cb901ddeae0"
"977665","1","1","7","f9022fbc-beed-11eb-8cbd-5cb901ddeae0"
"977666","1","1","4","fbf48f1a-beed-11eb-8cbd-5cb901ddeae0"
"977666","1","1","5","fbf47e26-beed-11eb-8cbd-5cb901ddeae0"
"977666","1","1","6","fbf46c35-beed-11eb-8cbd-5cb901ddeae0"
"977666","1","1","7","fbf4a12a-beed-11eb-8cbd-5cb901ddeae0"
"977667","1","1","3","f7e45020-beed-11eb-8cbd-5cb901ddeae0"
"977667","1","1","5","f7e45e3f-beed-11eb-8cbd-5cb901ddeae0"
"977667","1","1","7","f7e46c72-beed-11eb-8cbd-5cb901ddeae0"
"977669","1","1","1","fcc91c12-beed-11eb-8cbd-5cb901ddeae0"
"977670","1","1","1","fbc03a6c-beed-11eb-8cbd-5cb901ddeae0"
"977670","1","1","2","fbc04bc3-beed-11eb-8cbd-5cb901ddeae0"
"977670","1","1","3","fbc05b20-beed-11eb-8cbd-5cb901ddeae0"
"977671","1","1","1","fa6bc0d9-beed-11eb-8cbd-5cb901ddeae0"
"977671","1","1","2","fa6bafd0-beed-11eb-8cbd-5cb901ddeae0"
"977671","1","1","6","fa6bd012-beed-11eb-8cbd-5cb901ddeae0"
"977671","1","1","7","fa6bdc62-beed-11eb-8cbd-5cb901ddeae0"
"977673","1","1","1","f9afbed1-beed-11eb-8cbd-5cb901ddeae0"
"977673","1","1","4","f9afce52-beed-11eb-8cbd-5cb901ddeae0"
"977673","1","1","5","f9afdeb8-beed-11eb-8cbd-5cb901ddeae0"
"977673","1","1","8","f9afecc6-beed-11eb-8cbd-5cb901ddeae0"
"977682","1","1","1","f806e059-beed-11eb-8cbd-5cb901ddeae0"
"977682","1","1","2","f806d4dc-beed-11eb-8cbd-5cb901ddeae0"
"977682","1","1","3","f806eb49-beed-11eb-8cbd-5cb901ddeae0"
"977683","1","1","1","ff016fe3-beed-11eb-8cbd-5cb901ddeae0"
"977683","1","1","2","ff018841-beed-11eb-8cbd-5cb901ddeae0"
"977684","1","1","1","fd19bcb0-beed-11eb-8cbd-5cb901ddeae0"
"977684","1","1","2","fd19cbd8-beed-11eb-8cbd-5cb901ddeae0"
"977684","1","1","3","fd19dcc7-beed-11eb-8cbd-5cb901ddeae0"
"977685","1","1","1","fddaa775-beed-11eb-8cbd-5cb901ddeae0"
"977685","1","1","2","fdda94d6-beed-11eb-8cbd-5cb901ddeae0"
"977685","1","1","3","fdda8290-beed-11eb-8cbd-5cb901ddeae0"
"977688","1","1","1","fbd28074-beed-11eb-8cbd-5cb901ddeae0"
"977688","1","1","2","fbd29356-beed-11eb-8cbd-5cb901ddeae0"
"977688","1","1","3","fbd2a4b4-beed-11eb-8cbd-5cb901ddeae0"
"977688","1","1","6","fbd2b419-beed-11eb-8cbd-5cb901ddeae0"
"977688","1","1","7","fbd2e948-beed-11eb-8cbd-5cb901ddeae0"
"977690","1","1","1","f7dc99dc-beed-11eb-8cbd-5cb901ddeae0"
"977690","1","1","2","f7dc8c0f-beed-11eb-8cbd-5cb901ddeae0"
"977690","1","1","3","f7dc7d0b-beed-11eb-8cbd-5cb901ddeae0"
"977691","1","1","1","fb3bb420-beed-11eb-8cbd-5cb901ddeae0"
"977691","1","1","2","fb3bc512-beed-11eb-8cbd-5cb901ddeae0"
"977691","1","1","3","fb3bd369-beed-11eb-8cbd-5cb901ddeae0"
"977693","1","1","1","fd9199cb-beed-11eb-8cbd-5cb901ddeae0"
"977693","1","1","2","fd91ab31-beed-11eb-8cbd-5cb901ddeae0"
"977693","1","1","3","fd91bbce-beed-11eb-8cbd-5cb901ddeae0"
"977695","1","1","1","fcbcc97e-beed-11eb-8cbd-5cb901ddeae0"
"977695","1","1","2","fcbcdd97-beed-11eb-8cbd-5cb901ddeae0"
"977695","1","1","3","fcbcb287-beed-11eb-8cbd-5cb901ddeae0"
